,0,idTask,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,
0,,18.0,[50 52 46 54],"['Christian Francois', 'Anna Kaufmann', 'Anne Olwada', 'Tesca Lobes']",Role 1,,Create Purchase Requisition
1,,7.0,[125 124 133   0],"['Francis Odell', 'Heinz Gutschmidt', 'Maris Freeman', 'None']",Role 2,,Analyze Purchase Requisition
2,,16.0,[ 93  23  99 115],"['Heinz Gutschmidt', 'Esmana Liubiata', 'Maris Freeman', 'Francis Odell']",Role 3,,Create Request for Quotation
3,,10.0,[364 376 367   0],"['Karel de Groot', 'Magdalena Predutta', 'Francois de Perrier', 'None']",Role 4,,Analyze Request for Quotation
4,,11.0,[156 129 128   0],"['Karel de Groot', 'Magdalena Predutta', 'Francois de Perrier', 'None']",Role 5,,Send Request for Quotation to Supplier
5,,15.0,[144 149 120   0],"['Karel de Groot', 'Magdalena Predutta', 'Francois de Perrier', 'None']",Role 6,,Create Quotation comparison Map
6,,17.0,[34 33 32 37],"['Alberto Duport', 'Nico Ojenbeer', 'Clement Duchot', 'Tesca Lobes']",Role 7,,Analyze Quotation Comparison Map
7,,3.0,[35 37 35 35],"['Kim Passa', 'Fjodor Kowalski', 'Penn Osterwalder', 'Immanuel Karagianni']",Role 8,,Choose best option
8,,12.0,[125 144 144   0],"['Karel de Groot', 'Magdalena Predutta', 'Francois de Perrier', 'None']",Role 9,,Settle Conditions With Supplier
9,,19.0,[138 148 127   0],"['Karel de Groot', 'Magdalena Predutta', 'Francois de Perrier', 'None']",Role 10,,Create Purchase Order
10,,20.0,[ 74  79 102  93],"['Sean Manney', 'Karen Clarens', 'Kiu Kan', 'Carmen Finacse']",Role 11,,Confirm Purchase Order
11,,8.0,[81 85 90 83],"['Sean Manney', 'Esmeralda Clay', 'Kiu Kan', 'Carmen Finacse']",Role 12,,Deliver Goods Services
12,,9.0,[38 34 35 36],"['Immanuel Karagianni', 'Nico Ojenbeer', 'Elvira Lores', 'Tesca Lobes']",Role 13,,Release Purchase Order
13,,13.0,[142 138 133   0],"['Karel de Groot', 'Magdalena Predutta', 'Francois de Perrier', 'None']",Role 14,,Approve Purchase Order for payment
14,,6.0,[ 80  71 116  83],"['Esmeralda Clay', 'Karen Clarens', 'Kiu Kan', 'Carmen Finacse']",Role 15,,Send Invoice
15,,5.0,[202 201   0   0],"['Pedro Alvares', 'Karalda Nimwada', 'None', 'None']",Role 16,,Release Supplier's Invoice
16,,0.0,[216 197   0   0],"['Pedro Alvares', 'Karalda Nimwada', 'None', 'None']",Role 17,,Authorize Supplier's Invoice payment
17,,2.0,[216 197   0   0],"['Pedro Alvares', 'Karalda Nimwada', 'None', 'None']",Role 18,,Pay Invoice
18,,1.0,[2 2 1 2],"['Immanuel Karagianni', 'Miu Hanwan', 'Penn Osterwalder', 'Kim Passa']",Role 19,,Amend Purchase Requisition
19,,14.0,[47 50 43 40],"['Miu Hanwan', 'Anne Olwada', 'Immanuel Karagianni', 'Kim Passa']",Role 20,,Amend Request for Quotation
20,,4.0,[47 33  7 14],"['Pedro Alvares', 'Karalda Nimwada', 'Karel de Groot', 'Francois de Perrier']",Role 21,,Settle Dispute With Supplier
0,,,,Christian Francois,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
1,,,,Anna Kaufmann,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
2,,,,Anne Olwada,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
3,,,,Tesca Lobes,Role 1,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
4,,,,Francis Odell,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
5,,,,Heinz Gutschmidt,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
6,,,,Maris Freeman,Role 2,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
7,,,,Heinz Gutschmidt,Role 3,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
8,,,,Esmana Liubiata,Role 3,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
9,,,,Maris Freeman,Role 3,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
10,,,,Francis Odell,Role 3,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
11,,,,Karel de Groot,Role 4,"{'work_days': [1, 1, 1, 1, 1, 1, 1], 'start_hour': datetime.datetime(1900, 1, 1, 0, 0), 'end_hour': datetime.datetime(1900, 1, 1, 23, 59, 59)}",
