,0,idTask,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,
0,,13.0,[41 42 52 44 50 44 46 54 41 43 40],"['Penn Osterwalder', 'Kim Passa', 'Anna Kaufmann', 'Alberto Duport', 'Christian Francois', 'Esmana Liubiata', 'Anne Olwada', 'Tesca Lobes', 'Miu Hanwan', 'Fjodor Kowalski', 'Clement Duchot']",Role 1,,Create Purchase Requisition
1,,14.0,[ 17  93  17  18  17  23  99  18 115  18  18],"['Penn Osterwalder', 'Heinz Gutschmidt', 'Anna Kaufmann', 'Clement Duchot', 'Miu Hanwan', 'Esmana Liubiata', 'Maris Freeman', 'Anne Olwada', 'Francis Odell', 'Nico Ojenbeer', 'Fjodor Kowalski']",Role 2,,Create Request for Quotation
2,,11.0,[376 364 367   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 3,,Analyze Request for Quotation
3,,3.0,[37 40 32 40 40 36 43 50 47 38 37],"['Penn Osterwalder', 'Kim Passa', 'Clement Duchot', 'Alberto Duport', 'Christian Francois', 'Esmana Liubiata', 'Immanuel Karagianni', 'Anne Olwada', 'Miu Hanwan', 'Nico Ojenbeer', 'Fjodor Kowalski']",Role 4,,Amend Request for Quotation
4,,9.0,[129 156 128   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 5,,Send Request for Quotation to Supplier
5,,4.0,[149 144 120   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 6,,Create Quotation comparison Map
6,,6.0,[30 29 32 34 32 29 26 37 33 30 27],"['Penn Osterwalder', 'Kim Passa', 'Clement Duchot', 'Alberto Duport', 'Christian Francois', 'Esmana Liubiata', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni']",Role 7,,Analyze Quotation Comparison Map
7,,0.0,[35 35 28 28 29 27 27 29 32 37 35],"['Penn Osterwalder', 'Kim Passa', 'Anna Kaufmann', 'Miu Hanwan', 'Elvira Lores', 'Esmana Liubiata', 'Anne Olwada', 'Tesca Lobes', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Immanuel Karagianni']",Role 8,,Choose best option
8,,1.0,[144 125 144   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",Role 9,,Settle Conditions With Supplier
