,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,
0,,18.285714285714285,,,11.0,14.0,[41 52 44 54 40 46 40 50 39 43 44 42 32 41],"['Penn Osterwalder', 'Anna Kaufmann', 'Esmana Liubiata', 'Tesca Lobes', 'Elvira Lores', 'Anne Olwada', 'Clement Duchot', 'Christian Francois', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Alberto Duport', 'Kim Passa', 'Immanuel Karagianni', 'Miu Hanwan']",Role 1,,Create Purchase Requisition
1,,16.928571428571427,,,5.0,14.0,[ 17  17  23 115  17  16  18  18  16  18  18  16  99  93],"['Penn Osterwalder', 'Anna Kaufmann', 'Esmana Liubiata', 'Francis Odell', 'Miu Hanwan', 'Immanuel Karagianni', 'Anne Olwada', 'Clement Duchot', 'Christian Francois', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Alberto Duport', 'Maris Freeman', 'Heinz Gutschmidt']",Role 2,,Create Request for Quotation
2,,22.333333333333332,,,16.0,3.0,[376 367 364   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",Role 3,,Analyze Request for Quotation
3,,18.285714285714285,,,2.0,14.0,[37 21 36 43 22 31 50 32 40 38 37 40 47 40],"['Penn Osterwalder', 'Anna Kaufmann', 'Esmana Liubiata', 'Immanuel Karagianni', 'Tesca Lobes', 'Elvira Lores', 'Anne Olwada', 'Clement Duchot', 'Christian Francois', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Alberto Duport', 'Miu Hanwan', 'Kim Passa']",Role 4,,Amend Request for Quotation
4,,22.333333333333332,,,17.0,3.0,[129 128 156   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",Role 5,,Send Request for Quotation to Supplier
5,,22.333333333333332,,,14.0,3.0,[149 120 144   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",Role 6,,Create Quotation comparison Map
6,,18.285714285714285,,,4.0,14.0,[30 23 29 37 25 26 32 32 33 30 34 29 27 26],"['Penn Osterwalder', 'Anna Kaufmann', 'Esmana Liubiata', 'Tesca Lobes', 'Elvira Lores', 'Anne Olwada', 'Clement Duchot', 'Christian Francois', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Alberto Duport', 'Kim Passa', 'Immanuel Karagianni', 'Miu Hanwan']",Role 7,,Analyze Quotation Comparison Map
7,,18.285714285714285,,,18.0,14.0,[35 28 27 29 29 27 27 18 32 37 26 35 35 28],"['Penn Osterwalder', 'Anna Kaufmann', 'Esmana Liubiata', 'Tesca Lobes', 'Elvira Lores', 'Anne Olwada', 'Clement Duchot', 'Christian Francois', 'Nico Ojenbeer', 'Fjodor Kowalski', 'Alberto Duport', 'Kim Passa', 'Immanuel Karagianni', 'Miu Hanwan']",Role 8,,Choose best option
8,,22.333333333333332,,,10.0,3.0,[144 144 125   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",Role 9,,Settle Conditions With Supplier
