,0,avg_costxhour,costxhour,dif_timestamp,diff_time_res,members,quantity,resource,role,schedule
0,Resource table: Resources grouped by tasks performed 0.7,,,,,,,,,
0,,18.285714285714285,,,,"['Clement Duchot', 'Elvira Lores', 'Anna Kaufmann', 'Alberto Duport', 'Kim Passa', 'Immanuel Karagianni', 'Esmana Liubiata', 'Anne Olwada', 'Fjodor Kowalski', 'Penn Osterwalder', 'Nico Ojenbeer', 'Miu Hanwan', 'Tesca Lobes', 'Christian Francois']",14.0,,Role 1,
1,,13.0,,,,"['Kiu Kan', 'Karen Clarens', 'Sean Manney', 'Carmen Finacse', 'Esmeralda Clay']",5.0,,Role 2,
2,,22.333333333333332,,,,"['Karel de Groot', 'Francois de Perrier', 'Magdalena Predutta']",3.0,,Role 3,
3,,13.666666666666666,,,,"['Francis Odell', 'Heinz Gutschmidt', 'Maris Freeman']",3.0,,Role 4,
4,,20.5,,,,"['Karalda Nimwada', 'Pedro Alvares']",2.0,,Role 5,
0,,18.285714285714285,2,146100.0,75480.0,,,Clement Duchot,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
1,,18.285714285714285,11,141120.0,81960.0,,,Elvira Lores,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
2,,18.285714285714285,29,151680.0,69420.0,,,Anna Kaufmann,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
3,,18.285714285714285,22,149040.0,91500.0,,,Alberto Duport,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
4,,18.285714285714285,21,150540.0,88140.0,,,Kim Passa,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
