,0,avg_costxhour,costxhour,dif_timestamp,diff_time_res,members,quantity,resource,role,schedule
0,Resource table: Resources grouped by tasks performed 0.7,,,,,,,,,
0,,18.846153846153847,,,,"['ID4132', 'ID4783', 'ID3846', 'ID4794', 'ID4219', 'ID0997', 'ID4718', 'ID4142', 'ID4641', 'ID4429', 'ID4167', 'ID4932', 'ID4529']",13.0,,Role 1,
1,,14.88888888888889,,,,"['ID0420', 'ID4355', 'ID4528', 'ID4109', 'ID4160', 'ID4872', 'ID3854', 'ID4385', 'ID4445']",9.0,,Role 2,
2,,15.2,,,,"['ID4618', 'ID4493', 'ID4955', 'ID4163', 'ID4287']",5.0,,Role 3,
3,,10.25,,,,"['ID4162', 'ID4140', 'ID4873', 'ID4326']",4.0,,Role 4,
4,,13.666666666666666,,,,"['ID4799', 'ID4622', 'ID3718']",3.0,,Role 5,
5,,17.333333333333332,,,,"['ID4291', 'ID4820', 'ID4491']",3.0,,Role 6,
6,,8.0,,,,"['ID0998', 'ID4882']",2.0,,Role 7,
7,,15.5,,,,"['ID4890', 'ID4851']",2.0,,Role 8,
8,,22.0,,,,['ID3998'],1.0,,Role 9,
9,,8.0,,,,['ID4442'],1.0,,Role 10,
10,,3.0,,,,['ID0937'],1.0,,Role 11,
11,,16.0,,,,['ID3641'],1.0,,Role 12,
12,,30.0,,,,['ID3716'],1.0,,Role 13,
0,,18.846153846153847,21,1809060.0,0.0,,,ID4132,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
1,,18.846153846153847,13,39600.0,0.0,,,ID4783,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
2,,18.846153846153847,26,1904520.0,37620.0,,,ID3846,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
3,,18.846153846153847,20,3986940.0,78720.0,,,ID4794,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
4,,18.846153846153847,11,1463160.0,88800.0,,,ID4219,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
5,,18.846153846153847,21,1676520.0,147780.0,,,ID0997,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
6,,18.846153846153847,14,353640.0,0.0,,,ID4718,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
7,,18.846153846153847,3,4500.0,0.0,,,ID4142,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
8,,18.846153846153847,25,2712300.0,28800.0,,,ID4641,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
9,,18.846153846153847,25,1860420.0,84660.0,,,ID4429,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
10,,18.846153846153847,30,2397000.0,108480.0,,,ID4167,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
11,,18.846153846153847,8,3777240.0,53220.0,,,ID4932,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
12,,18.846153846153847,28,3420480.0,166920.0,,,ID4529,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
13,,14.88888888888889,13,1612440.0,40740.0,,,ID0420,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
14,,14.88888888888889,16,1480020.0,73140.0,,,ID4355,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
15,,14.88888888888889,8,1985460.0,47880.0,,,ID4528,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
16,,14.88888888888889,17,20820.0,0.0,,,ID4109,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
17,,14.88888888888889,18,49080.0,0.0,,,ID4160,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
18,,14.88888888888889,22,1547940.0,66060.0,,,ID4872,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
19,,14.88888888888889,4,6840.0,0.0,,,ID3854,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
20,,14.88888888888889,27,1905420.0,110460.0,,,ID4385,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
21,,14.88888888888889,9,2346960.0,90420.0,,,ID4445,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
22,,15.2,30,2404920.0,81180.0,,,ID4618,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
23,,15.2,5,1221780.0,57960.0,,,ID4493,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
24,,15.2,23,240.0,0.0,,,ID4955,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
25,,15.2,13,1813920.0,41340.0,,,ID4163,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
26,,15.2,5,1973040.0,140160.0,,,ID4287,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
27,,10.25,2,164460.0,0.0,,,ID4162,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
28,,10.25,4,17820.0,0.0,,,ID4140,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
29,,10.25,25,141300.0,0.0,,,ID4873,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
30,,10.25,10,274380.0,0.0,,,ID4326,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
31,,13.666666666666666,18,252000.0,0.0,,,ID4799,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
32,,13.666666666666666,16,169740.0,0.0,,,ID4622,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
33,,13.666666666666666,7,3600.0,0.0,,,ID3718,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
34,,17.333333333333332,22,61200.0,0.0,,,ID4291,Role 6,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
