,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,
0,,18.285714285714285,,,19.0,14.0,[39 32 46 44 42 50 40 43 40 54 41 52 44 41],"['Nico Ojenbeer', 'Immanuel Karagianni', 'Anne Olwada', 'Alberto Duport', 'Kim Passa', 'Christian Francois', 'Clement Duchot', 'Fjodor Kowalski', 'Elvira Lores', 'Tesca Lobes', 'Miu Hanwan', 'Anna Kaufmann', 'Esmana Liubiata', 'Penn Osterwalder']",Role 1,,Create Purchase Requisition
1,,17.785714285714285,,,2.0,14.0,[ 18  17  18  16  23  16  93  99 115  18  18  17  16  17],"['Nico Ojenbeer', 'Penn Osterwalder', 'Anne Olwada', 'Alberto Duport', 'Esmana Liubiata', 'Christian Francois', 'Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell', 'Clement Duchot', 'Fjodor Kowalski', 'Anna Kaufmann', 'Tesca Lobes', 'Miu Hanwan']",Role 2,,Create Request for Quotation
2,,22.333333333333332,,,12.0,3.0,[376 364 367   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 3,,Analyze Request for Quotation
3,,13.666666666666666,,,7.0,3.0,[124 133 125   0   0   0   0   0   0   0   0   0   0   0],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell']",Role 4,,Analyze Purchase Requisition
4,,22.333333333333332,,,6.0,3.0,[129 156 128   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 5,,Send Request for Quotation to Supplier
5,,22.333333333333332,,,8.0,3.0,[149 144 120   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 6,,Create Quotation comparison Map
6,,18.285714285714285,,,5.0,14.0,[33 27 26 34 29 32 32 30 25 37 26 23 29 30],"['Nico Ojenbeer', 'Immanuel Karagianni', 'Anne Olwada', 'Alberto Duport', 'Kim Passa', 'Christian Francois', 'Clement Duchot', 'Fjodor Kowalski', 'Elvira Lores', 'Tesca Lobes', 'Miu Hanwan', 'Anna Kaufmann', 'Esmana Liubiata', 'Penn Osterwalder']",Role 7,,Analyze Quotation Comparison Map
7,,18.285714285714285,,,10.0,14.0,[32 35 27 26 35 18 27 37 29 29 28 28 27 35],"['Nico Ojenbeer', 'Immanuel Karagianni', 'Anne Olwada', 'Alberto Duport', 'Kim Passa', 'Christian Francois', 'Clement Duchot', 'Fjodor Kowalski', 'Elvira Lores', 'Tesca Lobes', 'Miu Hanwan', 'Anna Kaufmann', 'Esmana Liubiata', 'Penn Osterwalder']",Role 8,,Choose best option
8,,22.333333333333332,,,17.0,3.0,[144 125 144   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 9,,Settle Conditions With Supplier
9,,22.333333333333332,,,3.0,3.0,[148 138 127   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 10,,Create Purchase Order
10,,13.0,,,11.0,5.0,[ 93 102  65  79  74   0   0   0   0   0   0   0   0   0],"['Carmen Finacse', 'Kiu Kan', 'Esmeralda Clay', 'Karen Clarens', 'Sean Manney']",Role 11,,Confirm Purchase Order
11,,13.0,,,18.0,5.0,[83 90 85 74 81  0  0  0  0  0  0  0  0  0],"['Carmen Finacse', 'Kiu Kan', 'Esmeralda Clay', 'Karen Clarens', 'Sean Manney']",Role 12,,Deliver Goods Services
12,,18.285714285714285,,,16.0,14.0,[34 38 32 28 30 30 31 30 35 36 33 25 24 33],"['Nico Ojenbeer', 'Immanuel Karagianni', 'Anne Olwada', 'Alberto Duport', 'Kim Passa', 'Christian Francois', 'Clement Duchot', 'Fjodor Kowalski', 'Elvira Lores', 'Tesca Lobes', 'Miu Hanwan', 'Anna Kaufmann', 'Esmana Liubiata', 'Penn Osterwalder']",Role 13,,Release Purchase Order
13,,22.333333333333332,,,4.0,3.0,[138 142 133   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 14,,Approve Purchase Order for payment
14,,13.0,,,15.0,5.0,[ 83 116  80  71  63   0   0   0   0   0   0   0   0   0],"['Carmen Finacse', 'Kiu Kan', 'Esmeralda Clay', 'Karen Clarens', 'Sean Manney']",Role 15,,Send Invoice
15,,20.5,,,20.0,2.0,[202 201   0   0   0   0   0   0   0   0   0   0   0   0],"['Pedro Alvares', 'Karalda Nimwada']",Role 16,,Release Supplier's Invoice
16,,20.5,,,1.0,2.0,[216 197   0   0   0   0   0   0   0   0   0   0   0   0],"['Pedro Alvares', 'Karalda Nimwada']",Role 17,,Authorize Supplier's Invoice payment
