,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,
0,,18.285714285714285,,,12.0,14.0,[42 44 40 54 39 44 32 46 40 43 41 41 52 50  0],"['Kim Passa', 'Alberto Duport', 'Clement Duchot', 'Tesca Lobes', 'Nico Ojenbeer', 'Esmana Liubiata', 'Immanuel Karagianni', 'Anne Olwada', 'Elvira Lores', 'Fjodor Kowalski', 'Miu Hanwan', 'Penn Osterwalder', 'Anna Kaufmann', 'Christian Francois']",Role 1,,Create Purchase Requisition
1,,13.666666666666666,,,0.0,3.0,[124 125 133   0   0   0   0   0   0   0   0   0   0   0   0],"['Heinz Gutschmidt', 'Francis Odell', 'Maris Freeman']",Role 2,,Analyze Purchase Requisition
2,,17.666666666666668,,,7.0,15.0,[ 16  16  18  16  18  93 115  23  16  18  17  18  99  17  17],"['Christian Francois', 'Alberto Duport', 'Clement Duchot', 'Tesca Lobes', 'Nico Ojenbeer', 'Heinz Gutschmidt', 'Francis Odell', 'Esmana Liubiata', 'Immanuel Karagianni', 'Anne Olwada', 'Anna Kaufmann', 'Fjodor Kowalski', 'Maris Freeman', 'Miu Hanwan', 'Penn Osterwalder']",Role 3,,Create Request for Quotation
3,,22.333333333333332,,,14.0,3.0,[376 367 364   0   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",Role 4,,Analyze Request for Quotation
4,,17.533333333333335,,,11.0,15.0,[40 40 32 22 38 40 21 36 43 50 31 37 19 47 37],"['Kim Passa', 'Alberto Duport', 'Clement Duchot', 'Tesca Lobes', 'Nico Ojenbeer', 'Christian Francois', 'Anna Kaufmann', 'Esmana Liubiata', 'Immanuel Karagianni', 'Anne Olwada', 'Elvira Lores', 'Fjodor Kowalski', 'Maris Freeman', 'Miu Hanwan', 'Penn Osterwalder']",Role 5,,Amend Request for Quotation
5,,22.333333333333332,,,8.0,3.0,[129 128 156   0   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",Role 6,,Send Request for Quotation to Supplier
6,,22.333333333333332,,,3.0,3.0,[149 120 144   0   0   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",Role 7,,Create Quotation comparison Map
7,,18.285714285714285,,,5.0,14.0,[29 34 32 37 33 29 27 26 25 30 26 30 23 32  0],"['Kim Passa', 'Alberto Duport', 'Clement Duchot', 'Tesca Lobes', 'Nico Ojenbeer', 'Esmana Liubiata', 'Immanuel Karagianni', 'Anne Olwada', 'Elvira Lores', 'Fjodor Kowalski', 'Miu Hanwan', 'Penn Osterwalder', 'Anna Kaufmann', 'Christian Francois']",Role 8,,Analyze Quotation Comparison Map
8,,18.285714285714285,,,9.0,14.0,[35 26 27 29 32 27 35 27 29 37 28 35 28 18  0],"['Kim Passa', 'Alberto Duport', 'Clement Duchot', 'Tesca Lobes', 'Nico Ojenbeer', 'Esmana Liubiata', 'Immanuel Karagianni', 'Anne Olwada', 'Elvira Lores', 'Fjodor Kowalski', 'Miu Hanwan', 'Penn Osterwalder', 'Anna Kaufmann', 'Christian Francois']",Role 9,,Choose best option
