,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,
0,,14.0,,,-1.0,1.0,[225   0   0   0   0   0   0   0   0],['ID4718'],Role 1,,Round Grinding
1,,16.666666666666668,,,19.0,9.0,[  2   1 142   1  69   4 215  87   1],"['ID0937', 'ID4167', 'ID4287', 'ID4955', 'ID4493', 'ID0420', 'ID4618', 'ID4163', 'ID4529']",Role 2,,Turning & Milling Q.C.
2,,22.666666666666668,,,18.0,9.0,[119 116  80 178 165 127 166 111  91],"['ID4641', 'ID4167', 'ID4132', 'ID4794', 'ID4529', 'ID4429', 'ID4932', 'ID0997', 'ID3846']",Role 3,,Turning & Milling
3,,15.777777777777779,,,17.0,9.0,[ 11  60   7   2   9   2 143   1  11],"['ID4872', 'ID4882', 'ID4355', 'ID4932', 'ID4718', 'ID4618', 'ID0998', 'ID4385', 'ID4445']",Role 4,,Laser Marking
4,,11.222222222222221,,,0.0,9.0,[  2 148   3   6 185   3   2  10   9],"['ID0937', 'ID4882', 'ID4355', 'ID0420', 'ID0998', 'ID4718', 'ID4445', 'ID4528', 'ID4872']",Role 5,,Lapping
5,,11.2,,,21.0,5.0,[  1 105  82 170 192   0   0   0   0],"['ID0937', 'ID4287', 'ID4493', 'ID4618', 'ID4163']",Role 6,,Final Inspection Q.C.
6,,14.25,,,13.0,4.0,[  1  25  17 234   0   0   0   0   0],"['ID4493', 'ID4491', 'ID4291', 'ID4820']",Role 7,,Packing
7,,17.0,,,16.0,7.0,[ 1  2  2 58  4  3 44  0  0],"['ID3716', 'ID0420', 'ID4618', 'ID0998', 'ID4528', 'ID4872', 'ID4882']",Role 8,,Flat Grinding
8,,15.88888888888889,,,23.0,9.0,[145 115  22  80 115 160  80  17  18],"['ID4445', 'ID4528', 'ID4287', 'ID4872', 'ID4355', 'ID4385', 'ID0420', 'ID4618', 'ID4163']",Role 9,,Round Grinding
9,,14.833333333333334,,,4.0,6.0,[ 3  1  2 42 39 10  0  0  0],"['ID4355', 'ID0998', 'ID4385', 'ID4528', 'ID4872', 'ID4882']",Role 10,,Grinding Rework
10,,18.444444444444443,,,12.0,9.0,[ 6  3 44 10 17  6 11 20  3],"['ID4932', 'ID4794', 'ID4219', 'ID4641', 'ID0997', 'ID4622', 'ID4799', 'ID3846', 'ID4132']",Role 11,,Turning
11,,11.2,,,2.0,5.0,[ 1 29  4 20  1  0  0  0  0],"['ID0937', 'ID4287', 'ID4493', 'ID4618', 'ID4163']",Role 12,,Turning Q.C.
12,,15.0,,,6.0,2.0,[2 1 0 0 0 0 0 0 0],"['ID3998', 'ID4932']",Role 13,,Stress Relief
13,,5.0,,,5.0,1.0,[1 0 0 0 0 0 0 0 0],['ID4493'],Role 14,,Final Inspection
14,,13.333333333333334,,,22.0,3.0,[1 1 2 0 0 0 0 0 0],"['ID4287', 'ID4493', 'ID4618']",Role 15,,Nitration Q.C.
15,,16.0,,,8.0,1.0,[2 0 0 0 0 0 0 0 0],['ID3641'],Role 16,,Rework Milling
16,,5.0,,,14.0,1.0,[1 0 0 0 0 0 0 0 0],['ID4287'],Role 17,,Milling Q.C.
17,,10.0,,,20.0,7.0,[ 1  1 10 11  1  4  2  0  0],"['ID0937', 'ID4287', 'ID4326', 'ID4162', 'ID0997', 'ID4873', 'ID4140']",Role 18,,Milling
18,,8.0,,,10.0,1.0,[3 0 0 0 0 0 0 0 0],['ID4932'],Role 19,,SETUP     Turning & Milling
19,,12.25,,,9.0,4.0,[2 1 2 1 0 0 0 0 0],"['ID4219', 'ID0997', 'ID4445', 'ID4528']",Role 20,,Fix
20,,9.5,,,7.0,2.0,[1 1 0 0 0 0 0 0 0],"['ID4219', 'ID4932']",Role 21,,Setup
21,,5.0,,,15.0,1.0,[2 0 0 0 0 0 0 0 0],['ID4493'],Role 22,,Round  Q.C.
22,,15.5,,,1.0,2.0,[2 2 0 0 0 0 0 0 0],"['ID4851', 'ID4890']",Role 23,,Change Version
23,,14.666666666666666,,,11.0,6.0,[ 1  1  9  7 12  5  0  0  0],"['ID0937', 'ID4287', 'ID4132', 'ID3846', 'ID4641', 'ID4932']",Role 24,,Turn & Mill. & Screw Assem
24,,8.0,,,3.0,1.0,[3 0 0 0 0 0 0 0 0],['ID4442'],Role 25,,Turning Rework
0,,14.0,14.0,353640.0,,,,ID4718,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,16.666666666666668,3.0,115800.0,,,,ID0937,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,16.666666666666668,30.0,2397000.0,,,,ID4167,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,16.666666666666668,5.0,1973040.0,,,,ID4287,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
