,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,
0,,21.25,,,4.0,4.0,[ 8 11  9  8],"['Elvira Lores', 'Kim Passa', 'Christian Francois', 'Anna Kaufmann']",Role 1,,Create Purchase Requisition
1,,13.666666666666666,,,13.0,3.0,[32 28 28  0],"['Maris Freeman', 'Francis Odell', 'Heinz Gutschmidt']",Role 2,,Analyze Purchase Requisition
2,,13.666666666666666,,,15.0,3.0,[27 33 28  0],"['Maris Freeman', 'Francis Odell', 'Heinz Gutschmidt']",Role 3,,Create Request for Quotation
3,,22.333333333333332,,,6.0,3.0,[27 30 31  0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 4,,Analyze Request for Quotation
4,,22.333333333333332,,,11.0,3.0,[30 34 24  0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 5,,Send Request for Quotation to Supplier
5,,22.333333333333332,,,7.0,3.0,[30 22 36  0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 6,,Create Quotation comparison Map
6,,21.0,,,17.0,4.0,[ 8  8 12  9],"['Christian Francois', 'Penn Osterwalder', 'Tesca Lobes', 'Alberto Duport']",Role 7,,Analyze Quotation Comparison Map
7,,16.0,,,0.0,4.0,[7 8 9 7],"['Clement Duchot', 'Alberto Duport', 'Fjodor Kowalski', 'Immanuel Karagianni']",Role 8,,Choose best option
8,,22.333333333333332,,,8.0,3.0,[25 31 32  0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 9,,Settle Conditions With Supplier
9,,22.333333333333332,,,16.0,3.0,[28 32 28  0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 10,,Create Purchase Order
10,,13.5,,,5.0,4.0,[24 16 16 21],"['Kiu Kan', 'Sean Manney', 'Karen Clarens', 'Carmen Finacse']",Role 11,,Confirm Purchase Order
11,,12.0,,,9.0,4.0,[20 20 19 16],"['Kiu Kan', 'Esmeralda Clay', 'Karen Clarens', 'Sean Manney']",Role 12,,Deliver Goods Services
12,,14.5,,,1.0,4.0,[11  8  8 10],"['Miu Hanwan', 'Elvira Lores', 'Fjodor Kowalski', 'Immanuel Karagianni']",Role 13,,Release Purchase Order
13,,22.333333333333332,,,2.0,3.0,[28 33 27  0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 14,,Approve Purchase Order for payment
14,,12.0,,,12.0,4.0,[24 19 15 16],"['Kiu Kan', 'Esmeralda Clay', 'Karen Clarens', 'Sean Manney']",Role 15,,Send Invoice
15,,20.5,,,10.0,2.0,[51 37  0  0],"['Karalda Nimwada', 'Pedro Alvares']",Role 16,,Release Supplier's Invoice
16,,20.5,,,3.0,2.0,[50 38  0  0],"['Karalda Nimwada', 'Pedro Alvares']",Role 17,,Authorize Supplier's Invoice payment
17,,20.5,,,14.0,2.0,[40 48  0  0],"['Karalda Nimwada', 'Pedro Alvares']",Role 18,,Pay Invoice
0,,21.25,11.0,19920.0,,,,Elvira Lores,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,21.25,21.0,25260.0,,,,Kim Passa,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,21.25,24.0,27720.0,,,,Christian Francois,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,21.25,29.0,22800.0,,,,Anna Kaufmann,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
