,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,
0,,22.11111111111111,,,18.0,9.0,[50 44 46 42 41 43 54 52 44],"['Christian Francois', 'Esmana Liubiata', 'Anne Olwada', 'Kim Passa', 'Miu Hanwan', 'Fjodor Kowalski', 'Tesca Lobes', 'Anna Kaufmann', 'Alberto Duport']",Role 1,,Create Purchase Requisition
1,,15.11111111111111,,,14.0,9.0,[ 18  99  18 115  18  23  17  18  93],"['Nico Ojenbeer', 'Maris Freeman', 'Fjodor Kowalski', 'Francis Odell', 'Anne Olwada', 'Esmana Liubiata', 'Miu Hanwan', 'Clement Duchot', 'Heinz Gutschmidt']",Role 2,,Create Request for Quotation
2,,22.333333333333332,,,10.0,3.0,[367 364 376   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 3,,Analyze Request for Quotation
3,,13.666666666666666,,,13.0,3.0,[133 125 124   0   0   0   0   0   0],"['Maris Freeman', 'Francis Odell', 'Heinz Gutschmidt']",Role 4,,Analyze Purchase Requisition
4,,18.666666666666668,,,9.0,9.0,[38 40 37 40 50 43 47 37 40],"['Nico Ojenbeer', 'Kim Passa', 'Penn Osterwalder', 'Christian Francois', 'Anne Olwada', 'Immanuel Karagianni', 'Miu Hanwan', 'Fjodor Kowalski', 'Alberto Duport']",Role 5,,Amend Request for Quotation
5,,22.333333333333332,,,12.0,3.0,[128 156 129   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 6,,Send Request for Quotation to Supplier
6,,22.333333333333332,,,2.0,3.0,[120 144 149   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 7,,Create Quotation comparison Map
7,,18.555555555555557,,,15.0,9.0,[33 30 30 29 37 32 32 29 34],"['Nico Ojenbeer', 'Penn Osterwalder', 'Fjodor Kowalski', 'Esmana Liubiata', 'Tesca Lobes', 'Clement Duchot', 'Christian Francois', 'Kim Passa', 'Alberto Duport']",Role 8,,Analyze Quotation Comparison Map
8,,18.22222222222222,,,0.0,9.0,[32 35 37 35 28 29 29 28 35],"['Nico Ojenbeer', 'Penn Osterwalder', 'Fjodor Kowalski', 'Immanuel Karagianni', 'Miu Hanwan', 'Tesca Lobes', 'Elvira Lores', 'Anna Kaufmann', 'Kim Passa']",Role 9,,Choose best option
