,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,
0,,26.75,,,3.0,4.0,[54 50 52 46],"['Tesca Lobes', 'Christian Francois', 'Anna Kaufmann', 'Anne Olwada']",Role 1,,Create Purchase Requisition
1,,14.75,,,13.0,4.0,[115  23  93  99],"['Francis Odell', 'Esmana Liubiata', 'Heinz Gutschmidt', 'Maris Freeman']",Role 2,,Create Request for Quotation
2,,22.333333333333332,,,1.0,3.0,[376 367 364   0],"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",Role 3,,Analyze Request for Quotation
3,,13.666666666666666,,,15.0,3.0,[124 133 125   0],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell']",Role 4,,Analyze Purchase Requisition
4,,22.333333333333332,,,17.0,3.0,[129 128 156   0],"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",Role 5,,Send Request for Quotation to Supplier
5,,22.333333333333332,,,7.0,3.0,[149 120 144   0],"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",Role 6,,Create Quotation comparison Map
6,,23.0,,,9.0,4.0,[33 37 34 32],"['Nico Ojenbeer', 'Tesca Lobes', 'Alberto Duport', 'Christian Francois']",Role 7,,Analyze Quotation Comparison Map
7,,17.75,,,6.0,4.0,[37 35 35 35],"['Fjodor Kowalski', 'Immanuel Karagianni', 'Kim Passa', 'Penn Osterwalder']",Role 8,,Choose best option
8,,22.333333333333332,,,0.0,3.0,[144 144 125   0],"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",Role 9,,Settle Conditions With Supplier
9,,22.333333333333332,,,5.0,3.0,[148 127 138   0],"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",Role 10,,Create Purchase Order
10,,13.5,,,16.0,4.0,[102  93  79  74],"['Kiu Kan', 'Carmen Finacse', 'Karen Clarens', 'Sean Manney']",Role 11,,Confirm Purchase Order
11,,14.0,,,14.0,4.0,[90 85 83 81],"['Kiu Kan', 'Esmeralda Clay', 'Carmen Finacse', 'Sean Manney']",Role 12,,Deliver Goods Services
12,,18.25,,,20.0,4.0,[34 38 36 35],"['Nico Ojenbeer', 'Immanuel Karagianni', 'Tesca Lobes', 'Elvira Lores']",Role 13,,Release Purchase Order
13,,22.333333333333332,,,19.0,3.0,[138 133 142   0],"['Magdalena Predutta', 'Francois de Perrier', 'Karel de Groot']",Role 14,,Approve Purchase Order for payment
14,,10.25,,,12.0,4.0,[116  80  71  83],"['Kiu Kan', 'Esmeralda Clay', 'Karen Clarens', 'Carmen Finacse']",Role 15,,Send Invoice
15,,20.5,,,4.0,2.0,[201 202   0   0],"['Karalda Nimwada', 'Pedro Alvares']",Role 16,,Release Supplier's Invoice
16,,20.5,,,11.0,2.0,[197 216   0   0],"['Karalda Nimwada', 'Pedro Alvares']",Role 17,,Authorize Supplier's Invoice payment
17,,20.5,,,18.0,2.0,[197 216   0   0],"['Karalda Nimwada', 'Pedro Alvares']",Role 18,,Pay Invoice
18,,23.5,,,2.0,4.0,[ 7 33 14 47],"['Karel de Groot', 'Karalda Nimwada', 'Francois de Perrier', 'Pedro Alvares']",Role 19,,Settle Dispute With Supplier
19,,18.25,,,10.0,4.0,[50 43 47 40],"['Anne Olwada', 'Immanuel Karagianni', 'Miu Hanwan', 'Christian Francois']",Role 20,,Amend Request for Quotation
20,,11.5,,,8.0,4.0,[2 2 2 1],"['Miu Hanwan', 'Immanuel Karagianni', 'Kim Passa', 'Clement Duchot']",Role 21,,Amend Purchase Requisition
0,,26.75,28.0,162300.0,,,,Tesca Lobes,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,26.75,24.0,161280.0,,,,Christian Francois,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,26.75,29.0,151680.0,,,,Anna Kaufmann,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,26.75,26.0,163560.0,,,,Anne Olwada,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
4,,14.75,16.0,78360.0,,,,Francis Odell,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
5,,14.75,18.0,157800.0,,,,Esmana Liubiata,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
6,,14.75,18.0,81720.0,,,,Heinz Gutschmidt,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
7,,14.75,7.0,83580.0,,,,Maris Freeman,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
8,,22.333333333333332,14.0,7433280.0,,,,Magdalena Predutta,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
9,,22.333333333333332,29.0,7418700.0,,,,Francois de Perrier,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
10,,22.333333333333332,24.0,6787620.0,,,,Karel de Groot,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
11,,13.666666666666666,18.0,81720.0,,,,Heinz Gutschmidt,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
12,,13.666666666666666,7.0,83580.0,,,,Maris Freeman,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
13,,13.666666666666666,16.0,78360.0,,,,Francis Odell,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
14,,22.333333333333332,14.0,7433280.0,,,,Magdalena Predutta,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
15,,22.333333333333332,29.0,7418700.0,,,,Francois de Perrier,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
16,,22.333333333333332,24.0,6787620.0,,,,Karel de Groot,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
17,,22.333333333333332,14.0,7433280.0,,,,Magdalena Predutta,Role 6,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
18,,22.333333333333332,29.0,7418700.0,,,,Francois de Perrier,Role 6,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
19,,22.333333333333332,24.0,6787620.0,,,,Karel de Groot,Role 6,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
20,,23.0,18.0,136860.0,,,,Nico Ojenbeer,Role 7,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
21,,23.0,28.0,162300.0,,,,Tesca Lobes,Role 7,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
22,,23.0,22.0,149040.0,,,,Alberto Duport,Role 7,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
23,,23.0,24.0,161280.0,,,,Christian Francois,Role 7,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
24,,17.75,24.0,152220.0,,,,Fjodor Kowalski,Role 8,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
