,0,avg_costxhour,costxhour,dif_timestamp,members,quantity,resource,role,schedule
0,Resource table: Resources grouped by tasks performed 0.5,,,,,,,,
0,,18.285714285714285,,,"['Penn Osterwalder', 'Tesca Lobes', 'Miu Hanwan', 'Nico Ojenbeer', 'Kim Passa', 'Christian Francois', 'Alberto Duport', 'Immanuel Karagianni', 'Esmana Liubiata', 'Clement Duchot', 'Elvira Lores', 'Anne Olwada', 'Fjodor Kowalski', 'Anna Kaufmann']",14.0,,Role 1,
1,,13.0,,,"['Karen Clarens', 'Sean Manney', 'Kiu Kan', 'Carmen Finacse', 'Esmeralda Clay']",5.0,,Role 2,
2,,22.333333333333332,,,"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",3.0,,Role 3,
3,,13.666666666666666,,,"['Maris Freeman', 'Heinz Gutschmidt', 'Francis Odell']",3.0,,Role 4,
4,,20.5,,,"['Pedro Alvares', 'Karalda Nimwada']",2.0,,Role 5,
0,,18.285714285714285,10.0,24540.0,,,Penn Osterwalder,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
1,,18.285714285714285,28.0,18000.0,,,Tesca Lobes,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
2,,18.285714285714285,7.0,13860.0,,,Miu Hanwan,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
3,,18.285714285714285,18.0,14100.0,,,Nico Ojenbeer,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
4,,18.285714285714285,21.0,25260.0,,,Kim Passa,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
5,,18.285714285714285,24.0,27720.0,,,Christian Francois,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
6,,18.285714285714285,22.0,24420.0,,,Alberto Duport,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
7,,18.285714285714285,16.0,5280.0,,,Immanuel Karagianni,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
8,,18.285714285714285,18.0,20460.0,,,Esmana Liubiata,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
9,,18.285714285714285,2.0,21180.0,,,Clement Duchot,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
10,,18.285714285714285,11.0,19920.0,,,Elvira Lores,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
11,,18.285714285714285,26.0,23460.0,,,Anne Olwada,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
12,,18.285714285714285,24.0,16860.0,,,Fjodor Kowalski,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
13,,18.285714285714285,29.0,22800.0,,,Anna Kaufmann,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
14,,13.0,9.0,1627140.0,,,Karen Clarens,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
15,,13.0,24.0,1294800.0,,,Sean Manney,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
16,,13.0,4.0,1972380.0,,,Kiu Kan,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
