,0,avg_costxhour,costxhour,dif_timestamp,members,quantity,resource,role,schedule
0,Resource table: Resources grouped by tasks performed 1.0,,,,,,,,
0,,9.0,,,['Karen Clarens'],1.0,,Role 1,
1,,14.0,,,['Magdalena Predutta'],1.0,,Role 2,
2,,28.0,,,['Tesca Lobes'],1.0,,Role 3,
3,,10.0,,,['Penn Osterwalder'],1.0,,Role 4,
4,,18.0,,,['Heinz Gutschmidt'],1.0,,Role 5,
5,,7.0,,,['Miu Hanwan'],1.0,,Role 6,
6,,24.0,,,['Sean Manney'],1.0,,Role 7,
7,,18.0,,,['Nico Ojenbeer'],1.0,,Role 8,
8,,21.0,,,['Kim Passa'],1.0,,Role 9,
9,,24.0,,,['Christian Francois'],1.0,,Role 10,
10,,7.0,,,['Maris Freeman'],1.0,,Role 11,
11,,4.0,,,['Kiu Kan'],1.0,,Role 12,
12,,16.0,,,['Francis Odell'],1.0,,Role 13,
13,,22.0,,,['Alberto Duport'],1.0,,Role 14,
14,,16.0,,,['Immanuel Karagianni'],1.0,,Role 15,
15,,29.0,,,['Francois de Perrier'],1.0,,Role 16,
16,,30.0,,,['Pedro Alvares'],1.0,,Role 17,
17,,18.0,,,['Esmana Liubiata'],1.0,,Role 18,
18,,2.0,,,['Clement Duchot'],1.0,,Role 19,
19,,17.0,,,['Carmen Finacse'],1.0,,Role 20,
20,,11.0,,,['Karalda Nimwada'],1.0,,Role 21,
21,,11.0,,,['Elvira Lores'],1.0,,Role 22,
22,,24.0,,,['Karel de Groot'],1.0,,Role 23,
23,,26.0,,,['Anne Olwada'],1.0,,Role 24,
24,,11.0,,,['Esmeralda Clay'],1.0,,Role 25,
25,,24.0,,,['Fjodor Kowalski'],1.0,,Role 26,
26,,29.0,,,['Anna Kaufmann'],1.0,,Role 27,
0,,9.0,9.0,6339480.0,,,Karen Clarens,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
1,,14.0,14.0,7433280.0,,,Magdalena Predutta,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
2,,28.0,28.0,162300.0,,,Tesca Lobes,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
3,,10.0,10.0,148500.0,,,Penn Osterwalder,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
4,,18.0,18.0,81720.0,,,Heinz Gutschmidt,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
5,,7.0,7.0,157140.0,,,Miu Hanwan,Role 6,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
6,,24.0,24.0,7389540.0,,,Sean Manney,Role 7,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
7,,18.0,18.0,136860.0,,,Nico Ojenbeer,Role 8,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
8,,21.0,21.0,150540.0,,,Kim Passa,Role 9,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
9,,24.0,24.0,161280.0,,,Christian Francois,Role 10,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
10,,7.0,7.0,83580.0,,,Maris Freeman,Role 11,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
11,,4.0,4.0,8587380.0,,,Kiu Kan,Role 12,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
12,,16.0,16.0,78360.0,,,Francis Odell,Role 13,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
13,,22.0,22.0,149040.0,,,Alberto Duport,Role 14,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
14,,16.0,16.0,128520.0,,,Immanuel Karagianni,Role 15,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
15,,29.0,29.0,7418700.0,,,Francois de Perrier,Role 16,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
16,,30.0,30.0,245580.0,,,Pedro Alvares,Role 17,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
17,,18.0,18.0,157800.0,,,Esmana Liubiata,Role 18,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
18,,2.0,2.0,146100.0,,,Clement Duchot,Role 19,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
19,,17.0,17.0,7959180.0,,,Carmen Finacse,Role 20,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
20,,11.0,11.0,205500.0,,,Karalda Nimwada,Role 21,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
21,,11.0,11.0,141120.0,,,Elvira Lores,Role 22,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
22,,24.0,24.0,6787620.0,,,Karel de Groot,Role 23,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
23,,26.0,26.0,163560.0,,,Anne Olwada,Role 24,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
24,,11.0,11.0,7829460.0,,,Esmeralda Clay,Role 25,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
