type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload
Role_5,4.762048E7,4.762048E7,4.762048E7,4.762048E7,4.762048E7,4.762048E7,4.762048E7,26794.0,26794.0,26794.0,26794.0,26794.0,26794.0,26794.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,0.00900251320440281,0.00900251320440281,0.00900251320440281,0.00900251320440281,0.00900251320440281,0.00900251320440281,0.00900251320440281,Francis Odell,4.762048E7,26794,2976280,0.00900251320440281
Role_7,4.762048E7,4.762048E7,4.762048E7,4.762048E7,4.762048E7,4.762048E7,4.762048E7,214478.0,214478.0,214478.0,214478.0,214478.0,214478.0,214478.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,0.07206244036179392,0.07206244036179392,0.07206244036179392,0.07206244036179392,0.07206244036179392,0.07206244036179392,0.07206244036179392,Immanuel Karagianni,4.762048E7,214478,2976280,0.07206244036179392
Role_22,8.333584E7,8.333584E7,8.333584E7,8.333584E7,8.333584E7,8.333584E7,8.333584E7,416013.0,416013.0,416013.0,416013.0,416013.0,416013.0,416013.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,0.13977616353300093,0.13977616353300093,0.13977616353300093,0.13977616353300093,0.13977616353300093,0.13977616353300093,0.13977616353300093,Tesca Lobes,8.333584E7,416013,2976280,0.13977616353300093
Role_1,4.166792E7,4.166792E7,4.166792E7,4.166792E7,4.166792E7,4.166792E7,4.166792E7,1.1083788E7,1.1083788E7,1.1083788E7,1.1083788E7,1.1083788E7,1.1083788E7,1.1083788E7,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,3.7240407488542746,3.7240407488542746,3.7240407488542746,3.7240407488542746,3.7240407488542746,3.7240407488542746,3.7240407488542746,Magdalena Predutta,4.166792E7,11083788,2976280,3.7240407488542746
Role_16,7.143072E7,7.143072E7,7.143072E7,7.143072E7,7.143072E7,7.143072E7,7.143072E7,327598.0,327598.0,327598.0,327598.0,327598.0,327598.0,327598.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,0.11006961710591745,0.11006961710591745,0.11006961710591745,0.11006961710591745,0.11006961710591745,0.11006961710591745,0.11006961710591745,Karel de Groot,7.143072E7,327598,2976280,0.11006961710591745
Role_27,6.250188E7,6.250188E7,6.250188E7,6.250188E7,6.250188E7,6.250188E7,6.250188E7,13497.0,13497.0,13497.0,13497.0,13497.0,13497.0,13497.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,0.004534855591543806,0.004534855591543806,0.004534855591543806,0.004534855591543806,0.004534855591543806,0.004534855591543806,0.004534855591543806,Kim Passa,6.250188E7,13497,2976280,0.004534855591543806
Role_2,7.143072E7,7.143072E7,7.143072E7,7.143072E7,7.143072E7,7.143072E7,7.143072E7,268615.0,268615.0,268615.0,268615.0,268615.0,268615.0,268615.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,0.09025192522208932,0.09025192522208932,0.09025192522208932,0.09025192522208932,0.09025192522208932,0.09025192522208932,0.09025192522208932,Christian Francois,7.143072E7,268615,2976280,0.09025192522208932
Role_14,3.273908E7,3.273908E7,3.273908E7,3.273908E7,3.273908E7,3.273908E7,3.273908E7,60404.0,60404.0,60404.0,60404.0,60404.0,60404.0,60404.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,0.020295133522383647,0.020295133522383647,0.020295133522383647,0.020295133522383647,0.020295133522383647,0.020295133522383647,0.020295133522383647,Karalda Nimwada,3.273908E7,60404,2976280,0.020295133522383647
Role_3,2.083396E7,2.083396E7,2.083396E7,2.083396E7,2.083396E7,2.083396E7,2.083396E7,92972.0,92972.0,92972.0,92972.0,92972.0,92972.0,92972.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,0.03123765237141667,0.03123765237141667,0.03123765237141667,0.03123765237141667,0.03123765237141667,0.03123765237141667,0.03123765237141667,Maris Freeman,2.083396E7,92972,2976280,0.03123765237141667
Role_4,1.190512E7,1.190512E7,1.190512E7,1.190512E7,1.190512E7,1.190512E7,1.190512E7,2.1372786E7,2.1372786E7,2.1372786E7,2.1372786E7,2.1372786E7,2.1372786E7,2.1372786E7,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,7.181040090314084,7.181040090314084,7.181040090314084,7.181040090314084,7.181040090314084,7.181040090314084,7.181040090314084,Kiu Kan,1.190512E7,21372786,2976280,7.181040090314084
Role_9,8.92884E7,8.92884E7,8.92884E7,8.92884E7,8.92884E7,8.92884E7,8.92884E7,177182.0,177182.0,177182.0,177182.0,177182.0,177182.0,177182.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,2976280.0,0.059531361296652194,0.059531361296652194,0.059531361296652194,0.059531361296652194,0.059531361296652194,0.059531361296652194,0.059531361296652194,Pedro Alvares,8.92884E7,177182,2976280,0.059531361296652194
