,0,avg_costxhour,costxhour,dif_timestamp,members,quantity,resource,role,schedule
0,Resource table: Resources grouped by tasks performed 0.8,,,,,,,,
0,,18.846153846153847,,,"['ID4794', 'ID4932', 'ID4219', 'ID4132', 'ID4142', 'ID3846', 'ID0997', 'ID4783', 'ID4529', 'ID4167', 'ID4429', 'ID4718', 'ID4641']",13.0,,Role 1,
1,,14.88888888888889,,,"['ID4445', 'ID0420', 'ID4160', 'ID4528', 'ID4109', 'ID4355', 'ID4872', 'ID4385', 'ID3854']",9.0,,Role 2,
2,,13.25,,,"['ID4618', 'ID4287', 'ID4163', 'ID4493']",4.0,,Role 3,
3,,10.25,,,"['ID4162', 'ID4326', 'ID4873', 'ID4140']",4.0,,Role 4,
4,,17.333333333333332,,,"['ID4491', 'ID4820', 'ID4291']",3.0,,Role 5,
5,,13.666666666666666,,,"['ID4622', 'ID4799', 'ID3718']",3.0,,Role 6,
6,,8.0,,,"['ID0998', 'ID4882']",2.0,,Role 7,
7,,15.5,,,"['ID4890', 'ID4851']",2.0,,Role 8,
8,,16.0,,,['ID3641'],1.0,,Role 9,
9,,30.0,,,['ID3716'],1.0,,Role 10,
10,,8.0,,,['ID4442'],1.0,,Role 11,
11,,22.0,,,['ID3998'],1.0,,Role 12,
12,,3.0,,,['ID0937'],1.0,,Role 13,
13,,23.0,,,['ID4955'],1.0,,Role 14,
0,,18.846153846153847,20.0,3986940.0,,,ID4794,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
1,,18.846153846153847,8.0,3777240.0,,,ID4932,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
2,,18.846153846153847,11.0,1463160.0,,,ID4219,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
3,,18.846153846153847,21.0,1809060.0,,,ID4132,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
4,,18.846153846153847,3.0,4500.0,,,ID4142,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
5,,18.846153846153847,26.0,1904520.0,,,ID3846,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
