type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload
Role_5,8.5743768E7,8.5743768E7,8.5743768E7,8.5743768E7,8.5743768E7,8.5743768E7,8.5743768E7,60404.0,60404.0,60404.0,60404.0,60404.0,60404.0,60404.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,0.007749181258281068,0.007749181258281068,0.007749181258281068,0.007749181258281068,0.007749181258281068,0.007749181258281068,0.007749181258281068,Karalda Nimwada,8.5743768E7,60404,7794888,0.007749181258281068
Role_13,1.24718208E8,1.24718208E8,1.24718208E8,1.24718208E8,1.24718208E8,1.24718208E8,1.24718208E8,26794.0,26794.0,26794.0,26794.0,26794.0,26794.0,26794.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,0.003437381011760528,0.003437381011760528,0.003437381011760528,0.003437381011760528,0.003437381011760528,0.003437381011760528,0.003437381011760528,Francis Odell,1.24718208E8,26794,7794888,0.003437381011760528
Role_24,2.18256864E8,2.18256864E8,2.18256864E8,2.18256864E8,2.18256864E8,2.18256864E8,2.18256864E8,416013.0,416013.0,416013.0,416013.0,416013.0,416013.0,416013.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,0.053369977862414444,0.053369977862414444,0.053369977862414444,0.053369977862414444,0.053369977862414444,0.053369977862414444,0.053369977862414444,Tesca Lobes,2.18256864E8,416013,7794888,0.053369977862414444
Role_10,1.87077312E8,1.87077312E8,1.87077312E8,1.87077312E8,1.87077312E8,1.87077312E8,1.87077312E8,268615.0,268615.0,268615.0,268615.0,268615.0,268615.0,268615.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,0.03446040533231523,0.03446040533231523,0.03446040533231523,0.03446040533231523,0.03446040533231523,0.03446040533231523,0.03446040533231523,Christian Francois,1.87077312E8,268615,7794888,0.03446040533231523
Role_21,2.3384664E8,2.3384664E8,2.3384664E8,2.3384664E8,2.3384664E8,2.3384664E8,2.3384664E8,177182.0,177182.0,177182.0,177182.0,177182.0,177182.0,177182.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,0.02273053827072307,0.02273053827072307,0.02273053827072307,0.02273053827072307,0.02273053827072307,0.02273053827072307,0.02273053827072307,Pedro Alvares,2.3384664E8,177182,7794888,0.02273053827072307
Role_8,5.4564216E7,5.4564216E7,5.4564216E7,5.4564216E7,5.4564216E7,5.4564216E7,5.4564216E7,92972.0,92972.0,92972.0,92972.0,92972.0,92972.0,92972.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,0.011927304151130844,0.011927304151130844,0.011927304151130844,0.011927304151130844,0.011927304151130844,0.011927304151130844,0.011927304151130844,Maris Freeman,5.4564216E7,92972,7794888,0.011927304151130844
Role_16,1.24718208E8,1.24718208E8,1.24718208E8,1.24718208E8,1.24718208E8,1.24718208E8,1.24718208E8,214478.0,214478.0,214478.0,214478.0,214478.0,214478.0,214478.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,0.027515212534163416,0.027515212534163416,0.027515212534163416,0.027515212534163416,0.027515212534163416,0.027515212534163416,0.027515212534163416,Immanuel Karagianni,1.24718208E8,214478,7794888,0.027515212534163416
Role_14,3.1179552E7,3.1179552E7,3.1179552E7,3.1179552E7,3.1179552E7,3.1179552E7,3.1179552E7,2.1372786E7,2.1372786E7,2.1372786E7,2.1372786E7,2.1372786E7,2.1372786E7,2.1372786E7,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,2.7418977668441165,2.7418977668441165,2.7418977668441165,2.7418977668441165,2.7418977668441165,2.7418977668441165,2.7418977668441165,Kiu Kan,3.1179552E7,21372786,7794888,2.7418977668441165
Role_18,1.87077312E8,1.87077312E8,1.87077312E8,1.87077312E8,1.87077312E8,1.87077312E8,1.87077312E8,455417.0,455417.0,455417.0,455417.0,455417.0,455417.0,455417.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,0.05842508577416378,0.05842508577416378,0.05842508577416378,0.05842508577416378,0.05842508577416378,0.05842508577416378,0.05842508577416378,Karel de Groot,1.87077312E8,455417,7794888,0.05842508577416378
Role_19,1.63692648E8,1.63692648E8,1.63692648E8,1.63692648E8,1.63692648E8,1.63692648E8,1.63692648E8,13497.0,13497.0,13497.0,13497.0,13497.0,13497.0,13497.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,7794888.0,0.0017315194265780341,0.0017315194265780341,0.0017315194265780341,0.0017315194265780341,0.0017315194265780341,0.0017315194265780341,0.0017315194265780341,Kim Passa,1.63692648E8,13497,7794888,0.0017315194265780341
