,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,
0,,16.0,,,-1.0,1.0,[225   0   0   0   0   0   0],['ID4355'],Role 1,,Round Grinding
1,,14.25,,,21.0,4.0,[  1  17 234  25   0   0   0],"['ID4493', 'ID4291', 'ID4820', 'ID4491']",Role 2,,Packing
2,,11.2,,,6.0,5.0,[ 82 170   1 105 192   0   0],"['ID4493', 'ID4618', 'ID0937', 'ID4287', 'ID4163']",Role 3,,Final Inspection Q.C.
3,,22.428571428571427,,,7.0,7.0,[178 111 166 127 116 119 165],"['ID4794', 'ID0997', 'ID4932', 'ID4429', 'ID4167', 'ID4641', 'ID4529']",Role 4,,Turning & Milling
4,,13.142857142857142,,,9.0,7.0,[ 69 215   2 142   1  87   4],"['ID4493', 'ID4618', 'ID0937', 'ID4287', 'ID4955', 'ID4163', 'ID0420']",Role 5,,Turning & Milling Q.C.
5,,15.0,,,8.0,2.0,[1 2 0 0 0 0 0],"['ID4932', 'ID3998']",Role 6,,Stress Relief
6,,17.857142857142858,,,17.0,7.0,[20 17  6 11 10  6 44],"['ID3846', 'ID0997', 'ID4932', 'ID4799', 'ID4641', 'ID4622', 'ID4219']",Role 7,,Turning
7,,11.2,,,19.0,5.0,[ 4 20  1 29  1  0  0],"['ID4493', 'ID4618', 'ID0937', 'ID4287', 'ID4163']",Role 8,,Turning Q.C.
8,,15.285714285714286,,,18.0,7.0,[ 60  11   7   9   2 143  11],"['ID4882', 'ID4872', 'ID4355', 'ID4718', 'ID4618', 'ID0998', 'ID4445']",Role 9,,Laser Marking
9,,12.714285714285714,,,1.0,7.0,[  3   3 185  10 148   9   6],"['ID4718', 'ID4355', 'ID0998', 'ID4528', 'ID4882', 'ID4872', 'ID0420']",Role 10,,Lapping
10,,14.833333333333334,,,13.0,6.0,[ 2 42 10 39  1  3  0],"['ID4385', 'ID4528', 'ID4882', 'ID4872', 'ID0998', 'ID4355']",Role 11,,Grinding Rework
11,,14.285714285714286,,,23.0,7.0,[160  80  22 145 115 115  80],"['ID4385', 'ID0420', 'ID4287', 'ID4445', 'ID4355', 'ID4528', 'ID4872']",Role 12,,Round Grinding
12,,10.0,,,4.0,7.0,[11  1  1 10  4  2  1],"['ID4162', 'ID0937', 'ID4287', 'ID4326', 'ID4873', 'ID4140', 'ID0997']",Role 13,,Milling
13,,17.0,,,22.0,7.0,[ 2  4 44  3 58  2  1],"['ID4618', 'ID4528', 'ID4882', 'ID4872', 'ID0998', 'ID0420', 'ID3716']",Role 14,,Flat Grinding
14,,5.0,,,0.0,1.0,[1 0 0 0 0 0 0],['ID4493'],Role 15,,Final Inspection
15,,16.0,,,10.0,1.0,[2 0 0 0 0 0 0],['ID3641'],Role 16,,Rework Milling
