,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,
0,,9.0,,,-1.0,1.0,[1 0 0 0 0 0 0],['ID4882'],Role 1,,Round Grinding
1,,19.0,,,1.0,2.0,[2 2 0 0 0 0 0],"['ID4932', 'ID4167']",Role 2,,Turning & Milling
2,,13.0,,,5.0,1.0,[1 0 0 0 0 0 0],['ID4163'],Role 3,,Turning & Milling Q.C.
3,,7.0,,,4.0,1.0,[1 0 0 0 0 0 0],['ID0998'],Role 4,,Laser Marking
4,,9.0,,,3.0,1.0,[4 0 0 0 0 0 0],['ID4882'],Role 5,,Lapping
5,,9.0,,,6.0,1.0,[2 0 0 0 0 0 0],['ID4445'],Role 6,,Round Grinding
6,,5.0,,,0.0,1.0,[3 0 0 0 0 0 0],['ID4493'],Role 7,,Final Inspection Q.C.
7,,2.0,,,2.0,1.0,[1 0 0 0 0 0 0],['ID4820'],Role 8,,Packing
0,,9.0,9.0,15480.0,,,,ID4882,Role 1,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,19.0,8.0,26220.0,,,,ID4932,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,19.0,30.0,14340.0,,,,ID4167,Role 2,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,13.0,13.0,5400.0,,,,ID4163,Role 3,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
4,,7.0,7.0,540.0,,,,ID0998,Role 4,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
5,,9.0,9.0,15480.0,,,,ID4882,Role 5,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
6,,9.0,9.0,22440.0,,,,ID4445,Role 6,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
7,,5.0,5.0,22560.0,,,,ID4493,Role 7,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
8,,2.0,2.0,3600.0,,,,ID4820,Role 8,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
