type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload
Role_12,1.6611216E7,4.5680844E7,1.6611216E7,1.6611216E7,4.5680844E7,3.114603E7,6.229206E7,1.0548518E7,1.0562543E7,1.0548518E7,1.0548518E7,1.0562543E7,1.05555305E7,2.1111061E7,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,2.540095318729225,2.5434725549291515,2.540095318729225,2.540095318729225,2.5434725549291515,2.541783936829188,5.083567873658376,Esmeralda Clay,4.5680844E7,10562543,4152804,2.5434725549291515,Kiu Kan,1.6611216E7,10548518,4152804,2.540095318729225
Role_13,6.6444864E7,1.16278512E8,6.6444864E7,6.6444864E7,1.16278512E8,9.1361688E7,1.82723376E8,6720.0,6780.0,6720.0,6720.0,6780.0,6750.0,13500.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.00161818376210387,0.0016326318314083689,0.00161818376210387,0.00161818376210387,0.0016326318314083689,0.0016254077967561196,0.003250815593512239,Tesca Lobes,1.16278512E8,6780,4152804,0.0016326318314083689,Immanuel Karagianni,6.6444864E7,6720,4152804,0.00161818376210387
Role_10,5.8139256E7,9.9667296E7,5.8139256E7,5.8139256E7,9.9667296E7,7.8903276E7,1.57806552E8,63726.0,64093.0,63726.0,63726.0,64093.0,63909.5,127819.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.015345294408308218,0.015433668432220736,0.015345294408308218,0.015345294408308218,0.015433668432220736,0.015389481420264476,0.030778962840528952,Karel de Groot,9.9667296E7,63726,4152804,0.015345294408308218,Magdalena Predutta,5.8139256E7,64093,4152804,0.015433668432220736
Role_21,2.9069628E7,8.7208884E7,2.9069628E7,2.9069628E7,8.7208884E7,5.8139256E7,1.16278512E8,6634.0,6863.0,6634.0,6634.0,6863.0,6748.5,13497.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.0015974748627674217,0.0016526183272795923,0.0015974748627674217,0.0015974748627674217,0.0016526183272795923,0.001625046595023507,0.003250093190047014,Kim Passa,8.7208884E7,6863,4152804,0.0016526183272795923,Miu Hanwan,2.9069628E7,6634,4152804,0.0015974748627674217
Role_11,1.6611216E7,7.0597668E7,1.6611216E7,1.6611216E7,7.0597668E7,4.3604442E7,8.7208884E7,126992.0,134733.0,126992.0,126992.0,134733.0,130862.5,261725.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.030579820285281945,0.03244386202671737,0.030579820285281945,0.030579820285281945,0.03244386202671737,0.031511841155999656,0.06302368231199931,Carmen Finacse,7.0597668E7,134733,4152804,0.03244386202671737,Kiu Kan,1.6611216E7,126992,4152804,0.030579820285281945
Role_16,4.5680844E7,1.2458412E8,4.5680844E7,4.5680844E7,1.2458412E8,8.5132482E7,1.70264964E8,30005.0,30399.0,30005.0,30005.0,30399.0,30202.0,60404.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.0072252386580247945,0.007320114313124337,0.0072252386580247945,0.0072252386580247945,0.007320114313124337,0.007272676485574565,0.01454535297114913,Pedro Alvares,1.2458412E8,30005,4152804,0.0072252386580247945,Karalda Nimwada,4.5680844E7,30399,4152804,0.007320114313124337
Role_17,4.5680844E7,1.2458412E8,4.5680844E7,4.5680844E7,1.2458412E8,8.5132482E7,1.70264964E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,1.2458412E8,0,4152804,0.0,Karalda Nimwada,4.5680844E7,0,4152804,0.0
Role_14,5.8139256E7,9.9667296E7,5.8139256E7,5.8139256E7,9.9667296E7,7.8903276E7,1.57806552E8,6720.0,6780.0,6720.0,6720.0,6780.0,6750.0,13500.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.00161818376210387,0.0016326318314083689,0.00161818376210387,0.00161818376210387,0.0016326318314083689,0.0016254077967561196,0.003250815593512239,Karel de Groot,9.9667296E7,6780,4152804,0.0016326318314083689,Magdalena Predutta,5.8139256E7,6720,4152804,0.00161818376210387
Role_15,1.6611216E7,7.0597668E7,1.6611216E7,1.6611216E7,7.0597668E7,4.3604442E7,8.7208884E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,7.0597668E7,0,4152804,0.0,Kiu Kan,1.6611216E7,0,4152804,0.0
Role_9,5.8139256E7,1.20431316E8,5.8139256E7,5.8139256E7,1.20431316E8,8.9285286E7,1.78570572E8,3738057.0,3758799.0,3738057.0,3738057.0,3758799.0,3748428.0,7496856.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.900128443336117,0.9051231408946823,0.900128443336117,0.900128443336117,0.9051231408946823,0.9026257921153996,1.8052515842307992,Magdalena Predutta,5.8139256E7,3758799,4152804,0.9051231408946823,Francois de Perrier,1.20431316E8,3738057,4152804,0.900128443336117
Role_20,4.5680844E7,1.2458412E8,4.5680844E7,4.5680844E7,1.2458412E8,8.5132482E7,1.70264964E8,23565.0,25977.0,23565.0,23565.0,25977.0,24771.0,49542.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.005674479219341919,0.006255291605382773,0.005674479219341919,0.005674479219341919,0.006255291605382773,0.005964885412362346,0.011929770824724692,Pedro Alvares,1.2458412E8,25977,4152804,0.006255291605382773,Karalda Nimwada,4.5680844E7,23565,4152804,0.005674479219341919
Role_5,5.8139256E7,9.9667296E7,5.8139256E7,5.8139256E7,9.9667296E7,7.8903276E7,1.57806552E8,154575.0,159523.0,154575.0,154575.0,159523.0,157049.0,314098.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.03722183854571513,0.03841332266102614,0.03722183854571513,0.03722183854571513,0.03841332266102614,0.037817580603370635,0.07563516120674127,Karel de Groot,9.9667296E7,159523,4152804,0.03841332266102614,Magdalena Predutta,5.8139256E7,154575,4152804,0.03722183854571513
Role_6,5.8139256E7,9.9667296E7,5.8139256E7,5.8139256E7,9.9667296E7,7.8903276E7,1.57806552E8,1346898.0,1351609.0,1346898.0,1346898.0,1351609.0,1349253.5,2698507.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.3243345941681813,0.3254690084097395,0.3243345941681813,0.3243345941681813,0.3254690084097395,0.3249018012889604,0.6498036025779208,Karel de Groot,9.9667296E7,1346898,4152804,0.3243345941681813,Magdalena Predutta,5.8139256E7,1351609,4152804,0.3254690084097395
Role_7,9.1361688E7,1.16278512E8,9.1361688E7,9.1361688E7,1.16278512E8,1.038201E8,2.076402E8,132757.0,135858.0,132757.0,132757.0,135858.0,134307.5,268615.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.03196803894428921,0.032714763326176725,0.03196803894428921,0.03196803894428921,0.032714763326176725,0.03234140113523297,0.06468280227046594,Alberto Duport,9.1361688E7,132757,4152804,0.03196803894428921,Tesca Lobes,1.16278512E8,135858,4152804,0.032714763326176725
Role_8,8.7208884E7,9.9667296E7,8.7208884E7,8.7208884E7,9.9667296E7,9.343809E7,1.8687618E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,4152804.0,8305608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kim Passa,8.7208884E7,0,4152804,0.0,Fjodor Kowalski,9.9667296E7,0,4152804,0.0
