,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,18.285714285714285,,,15.0,14.0,[41 42 43 46 50 40 39 32 44 54 52 44 41 40  0  0  0],"['Miu Hanwan', 'Kim Passa', 'Fjodor Kowalski', 'Anne Olwada', 'Christian Francois', 'Clement Duchot', 'Nico Ojenbeer', 'Immanuel Karagianni', 'Esmana Liubiata', 'Tesca Lobes', 'Anna Kaufmann', 'Alberto Duport', 'Penn Osterwalder', 'Elvira Lores']",Role 1,,Role_1,,Create Purchase Requisition
1,,13.666666666666666,,,0.0,3.0,[124 133 125   0   0   0   0   0   0   0   0   0   0   0   0   0   0],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell']",Role 2,,Role_2,,Analyze Purchase Requisition
2,,17.470588235294116,,,19.0,17.0,[ 17  14  18  18  16  18  93  18  16  23  99 115  16  17  16  17  13],"['Miu Hanwan', 'Kim Passa', 'Fjodor Kowalski', 'Anne Olwada', 'Christian Francois', 'Clement Duchot', 'Heinz Gutschmidt', 'Nico Ojenbeer', 'Immanuel Karagianni', 'Esmana Liubiata', 'Maris Freeman', 'Francis Odell', 'Tesca Lobes', 'Anna Kaufmann', 'Alberto Duport', 'Penn Osterwalder', 'Elvira Lores']",Role 3,,Role_3,,Create Request for Quotation
3,,22.333333333333332,,,3.0,3.0,[367 364 376   0   0   0   0   0   0   0   0   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 4,,Role_4,,Analyze Request for Quotation
4,,22.333333333333332,,,17.0,3.0,[128 156 129   0   0   0   0   0   0   0   0   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 5,,Role_5,,Send Request for Quotation to Supplier
5,,22.333333333333332,,,7.0,3.0,[120 144 149   0   0   0   0   0   0   0   0   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 6,,Role_6,,Create Quotation comparison Map
6,,18.285714285714285,,,14.0,14.0,[26 29 30 26 32 32 33 27 29 37 23 34 30 25  0  0  0],"['Miu Hanwan', 'Kim Passa', 'Fjodor Kowalski', 'Anne Olwada', 'Christian Francois', 'Clement Duchot', 'Nico Ojenbeer', 'Immanuel Karagianni', 'Esmana Liubiata', 'Tesca Lobes', 'Anna Kaufmann', 'Alberto Duport', 'Penn Osterwalder', 'Elvira Lores']",Role 7,,Role_7,,Analyze Quotation Comparison Map
7,,18.285714285714285,,,13.0,14.0,[28 35 37 27 18 27 32 35 27 29 28 26 35 29  0  0  0],"['Miu Hanwan', 'Kim Passa', 'Fjodor Kowalski', 'Anne Olwada', 'Christian Francois', 'Clement Duchot', 'Nico Ojenbeer', 'Immanuel Karagianni', 'Esmana Liubiata', 'Tesca Lobes', 'Anna Kaufmann', 'Alberto Duport', 'Penn Osterwalder', 'Elvira Lores']",Role 8,,Role_8,,Choose best option
8,,22.333333333333332,,,18.0,3.0,[144 125 144   0   0   0   0   0   0   0   0   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 9,,Role_9,,Settle Conditions With Supplier
9,,22.333333333333332,,,12.0,3.0,[127 138 148   0   0   0   0   0   0   0   0   0   0   0   0   0   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 10,,Role_10,,Create Purchase Order
10,,13.0,,,9.0,5.0,[ 93  74 102  79  65   0   0   0   0   0   0   0   0   0   0   0   0],"['Carmen Finacse', 'Sean Manney', 'Kiu Kan', 'Karen Clarens', 'Esmeralda Clay']",Role 11,,Role_11,,Confirm Purchase Order
11,,13.0,,,8.0,5.0,[83 81 90 74 85  0  0  0  0  0  0  0  0  0  0  0  0],"['Carmen Finacse', 'Sean Manney', 'Kiu Kan', 'Karen Clarens', 'Esmeralda Clay']",Role 12,,Role_12,,Deliver Goods Services
