,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,26.75,,,15.0,4.0,[50 52 54 46],"['Christian Francois', 'Anna Kaufmann', 'Tesca Lobes', 'Anne Olwada']",Role 1,,Role_1,,Create Purchase Requisition
1,,13.666666666666666,,,0.0,3.0,[124 133 125   0],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell']",Role 2,,Role_2,,Analyze Purchase Requisition
2,,14.75,,,19.0,4.0,[ 93  23  99 115],"['Heinz Gutschmidt', 'Esmana Liubiata', 'Maris Freeman', 'Francis Odell']",Role 3,,Role_3,,Create Request for Quotation
3,,22.333333333333332,,,3.0,3.0,[367 364 376   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 4,,Role_4,,Analyze Request for Quotation
4,,22.333333333333332,,,17.0,3.0,[128 156 129   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 5,,Role_5,,Send Request for Quotation to Supplier
5,,22.333333333333332,,,7.0,3.0,[120 144 149   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 6,,Role_6,,Create Quotation comparison Map
6,,17.5,,,14.0,4.0,[34 33 37 32],"['Alberto Duport', 'Nico Ojenbeer', 'Tesca Lobes', 'Clement Duchot']",Role 7,,Role_7,,Analyze Quotation Comparison Map
7,,17.75,,,13.0,4.0,[35 35 37 35],"['Immanuel Karagianni', 'Kim Passa', 'Fjodor Kowalski', 'Penn Osterwalder']",Role 8,,Role_8,,Choose best option
8,,22.333333333333332,,,18.0,3.0,[144 125 144   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 9,,Role_9,,Settle Conditions With Supplier
9,,22.333333333333332,,,12.0,3.0,[127 138 148   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 10,,Role_10,,Create Purchase Order
10,,13.5,,,9.0,4.0,[ 93  74 102  79],"['Carmen Finacse', 'Sean Manney', 'Kiu Kan', 'Karen Clarens']",Role 11,,Role_11,,Confirm Purchase Order
11,,14.0,,,8.0,4.0,[83 81 90 85],"['Carmen Finacse', 'Sean Manney', 'Kiu Kan', 'Esmeralda Clay']",Role 12,,Role_12,,Deliver Goods Services
12,,18.25,,,5.0,4.0,[35 38 34 36],"['Elvira Lores', 'Immanuel Karagianni', 'Nico Ojenbeer', 'Tesca Lobes']",Role 13,,Role_13,,Release Purchase Order
13,,22.333333333333332,,,20.0,3.0,[133 142 138   0],"['Francois de Perrier', 'Karel de Groot', 'Magdalena Predutta']",Role 14,,Role_14,,Approve Purchase Order for payment
14,,10.25,,,2.0,4.0,[ 83  80 116  71],"['Carmen Finacse', 'Esmeralda Clay', 'Kiu Kan', 'Karen Clarens']",Role 15,,Role_15,,Send Invoice
