type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload
Role_12,8739968.0,5.2439808E7,2.4034912E7,8739968.0,3.7144864E7,3.0589888E7,1.22359552E8,5232375.0,5323874.0,5277280.0,5232375.0,5277532.0,5277765.25,2.1111061E7,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,8739968.0,2.3946884016051317,2.4365645274673775,2.4152399642653153,2.3946884016051317,2.4153552964953646,2.415462047458297,9.661848189833188,Carmen Finacse,3.7144864E7,5323874,2184992,2.4365645274673775,Esmeralda Clay,2.4034912E7,5277280,2184992,2.4152399642653153,Kiu Kan,8739968.0,5277532,2184992,2.4153552964953646,Sean Manney,5.2439808E7,5232375,2184992,2.3946884016051317
Role_13,2.4034912E7,6.1179776E7,3.4959872E7,2.4034912E7,3.9329856E7,3.9876104E7,1.59504416E8,3360.0,3420.0,3360.0,3360.0,3360.0,3375.0,13500.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,8739968.0,0.0015377630673247317,0.0015652231220983875,0.0015377630673247317,0.0015377630673247317,0.0015377630673247317,0.0015446280810181455,0.006178512324072582,Nico Ojenbeer,3.9329856E7,3420,2184992,0.0015652231220983875,Tesca Lobes,6.1179776E7,3360,2184992,0.0015377630673247317,Immanuel Karagianni,3.4959872E7,3360,2184992,0.0015377630673247317,Elvira Lores,2.4034912E7,3360,2184992,0.0015377630673247317
Role_10,3.0589888E7,6.3364768E7,5.2439808E7,3.0589888E7,6.3364768E7,4.8798154666666664E7,1.46394464E8,41422.0,43524.0,42873.0,41422.0,43524.0,42606.333333333336,127819.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,6554976.0,0.018957506480572928,0.019919523732810005,0.01962158213851584,0.018957506480572928,0.019919523732810005,0.01949953745063292,0.058498612351898766,Karel de Groot,5.2439808E7,43524,2184992,0.019919523732810005,Magdalena Predutta,3.0589888E7,41422,2184992,0.018957506480572928,Francois de Perrier,6.3364768E7,42873,2184992,0.01962158213851584,,,,,
Role_21,4369984.0,4.5884832E7,1.5294944E7,4369984.0,3.4959872E7,2.5127408E7,1.00509632E8,3291.0,3472.0,3343.0,3291.0,3391.0,3374.25,13497.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,8739968.0,0.0015061840043350274,0.001589021836235556,0.0015299827184721958,0.0015061840043350274,0.0015519507622911205,0.0015442848303334749,0.0061771393213338995,Kim Passa,4.5884832E7,3472,2184992,0.001589021836235556,Clement Duchot,4369984.0,3343,2184992,0.0015299827184721958,Miu Hanwan,1.5294944E7,3391,2184992,0.0015519507622911205,Immanuel Karagianni,3.4959872E7,3291,2184992,0.0015061840043350274
Role_11,8739968.0,5.2439808E7,1.9664928E7,8739968.0,3.7144864E7,2.9497392E7,1.17989568E8,65085.0,65906.0,65196.0,65085.0,65538.0,65431.25,261725.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,8739968.0,0.02978729441572326,0.030163039498542786,0.029838095517054526,0.02978729441572326,0.029994617829264363,0.029945761815146237,0.11978304726058495,Carmen Finacse,3.7144864E7,65085,2184992,0.02978729441572326,Karen Clarens,1.9664928E7,65538,2184992,0.029994617829264363,Kiu Kan,8739968.0,65196,2184992,0.029838095517054526,Sean Manney,5.2439808E7,65906,2184992,0.030163039498542786
Role_16,2.4034912E7,6.554976E7,2.4034912E7,2.4034912E7,6.554976E7,4.4792336E7,8.9584672E7,29810.0,30594.0,29810.0,29810.0,30594.0,30202.0,60404.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,4369984.0,0.013643070546711385,0.014001881929087155,0.013643070546711385,0.013643070546711385,0.014001881929087155,0.01382247623789927,0.02764495247579854,Pedro Alvares,6.554976E7,29810,2184992,0.013643070546711385,Karalda Nimwada,2.4034912E7,30594,2184992,0.014001881929087155,,,,,,,,,,
Role_17,2.4034912E7,6.554976E7,2.4034912E7,2.4034912E7,6.554976E7,4.4792336E7,8.9584672E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,4369984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,6.554976E7,0,2184992,0.0,Karalda Nimwada,2.4034912E7,0,2184992,0.0,,,,,,,,,,
Role_14,3.0589888E7,6.3364768E7,5.2439808E7,3.0589888E7,6.3364768E7,4.8798154666666664E7,1.46394464E8,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,6554976.0,0.002059504108024194,0.002059504108024194,0.002059504108024194,0.002059504108024194,0.002059504108024194,0.002059504108024194,0.006178512324072582,Karel de Groot,5.2439808E7,4500,2184992,0.002059504108024194,Magdalena Predutta,3.0589888E7,4500,2184992,0.002059504108024194,Francois de Perrier,6.3364768E7,4500,2184992,0.002059504108024194,,,,,
Role_15,8739968.0,3.7144864E7,1.9664928E7,8739968.0,2.4034912E7,2.2396168E7,8.9584672E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,8739968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,3.7144864E7,0,2184992,0.0,Esmeralda Clay,2.4034912E7,0,2184992,0.0,Karen Clarens,1.9664928E7,0,2184992,0.0,Kiu Kan,8739968.0,0,2184992,0.0
Role_9,3.0589888E7,6.3364768E7,5.2439808E7,3.0589888E7,6.3364768E7,4.8798154666666664E7,1.46394464E8,2468113.0,2541458.0,2487285.0,2468113.0,2541458.0,2498952.0,7496856.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,2184992.0,6554976.0,1.1295753027928706,1.1631429314157673,1.1383497056282128,1.1295753027928706,1.1631429314157673,1.1436893132789503,3.4310679398368507,Karel de Groot,5.2439808E7,2541458,2184992,1.1631429314157673,Magdalena Predutta,3.0589888E7,2468113,2184992,1.1295753027928706,Francois de Perrier,6.3364768E7,2487285,2184992,1.1383497056282128,,,,,
