type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload
Role_12,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,4194970.0,4249099.0,4229974.0,4200847.0,4236171.0,4222212.2,2.1111061E7,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,1.3904054378333517,1.4083462707700547,1.4020073687043517,1.392353345150483,1.4040613386965692,1.399434752230962,6.99717376115481,Carmen Finacse,5.1290428E7,4229974,3017084,1.4020073687043517,Esmeralda Clay,3.3187924E7,4236171,3017084,1.4040613386965692,Karen Clarens,2.7153756E7,4249099,3017084,1.4083462707700547,Kiu Kan,1.2068336E7,4194970,3017084,1.3904054378333517,Sean Manney,7.2410016E7,4200847,3017084,1.392353345150483,,,,,,,,,,,,,,,,,,,,
Role_13,6034168.0,8.4478352E7,4.8273344E7,3.017084E7,7.2410016E7,4.760288088888889E7,4.28425928E8,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,13500.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,2.7153756E7,4.971687894669158E-4,4.971687894669158E-4,4.971687894669158E-4,4.971687894669158E-4,4.971687894669158E-4,4.971687894669156E-4,0.004474519105202241,Clement Duchot,6034168.0,1500,3017084,4.971687894669158E-4,Christian Francois,7.2410016E7,1500,3017084,4.971687894669158E-4,Miu Hanwan,2.1119588E7,1500,3017084,4.971687894669158E-4,Nico Ojenbeer,5.4307512E7,1500,3017084,4.971687894669158E-4,Tesca Lobes,8.4478352E7,1500,3017084,4.971687894669158E-4,Anne Olwada,7.8444184E7,1500,3017084,4.971687894669158E-4,Immanuel Karagianni,4.8273344E7,1500,3017084,4.971687894669158E-4,Elvira Lores,3.3187924E7,1500,3017084,4.971687894669158E-4,Penn Osterwalder,3.017084E7,1500,3017084,4.971687894669158E-4
Role_10,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,41422.0,43524.0,42873.0,41422.0,43524.0,42606.333333333336,127819.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.013729150398199056,0.014425849595172027,0.014210078340543386,0.013729150398199056,0.014425849595172027,0.01412169277797149,0.042365078333914466,Karel de Groot,7.2410016E7,43524,3017084,0.014425849595172027,Magdalena Predutta,4.2239176E7,41422,3017084,0.013729150398199056,Francois de Perrier,8.7495436E7,42873,3017084,0.014210078340543386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_21,6034168.0,7.2410016E7,3.3187924E7,2.1119588E7,5.4307512E7,4.11077695E7,3.28862156E8,1446.0,1872.0,1646.0,1471.0,1845.0,1687.125,13497.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,2.4136672E7,4.7927071304610676E-4,6.204666492547108E-4,5.455598849750288E-4,4.8755685953722204E-4,6.115176110443063E-4,5.591905959529134E-4,0.004473524767623307,Kim Passa,6.3358764E7,1866,3017084,6.184779740968432E-4,Clement Duchot,6034168.0,1872,3017084,6.204666492547108E-4,Christian Francois,7.2410016E7,1471,3017084,4.8755685953722204E-4,Miu Hanwan,2.1119588E7,1606,3017084,5.323020505892444E-4,Nico Ojenbeer,5.4307512E7,1845,3017084,6.115176110443063E-4,Immanuel Karagianni,4.8273344E7,1745,3017084,5.783730250798453E-4,Elvira Lores,3.3187924E7,1446,3017084,4.7927071304610676E-4,Penn Osterwalder,3.017084E7,1646,3017084,5.455598849750288E-4,,,,,
Role_11,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,50233.0,53719.0,52142.0,52023.0,53608.0,52345.0,261725.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.016649519867527718,0.017804940134248833,0.01728225001358928,0.017242807956291573,0.01776814964382828,0.01734953352309714,0.08674766761548569,Carmen Finacse,5.1290428E7,53608,3017084,0.01776814964382828,Esmeralda Clay,3.3187924E7,52023,3017084,0.017242807956291573,Karen Clarens,2.7153756E7,53719,3017084,0.017804940134248833,Kiu Kan,1.2068336E7,50233,3017084,0.016649519867527718,Sean Manney,7.2410016E7,52142,3017084,0.01728225001358928,,,,,,,,,,,,,,,,,,,,
Role_16,3.3187924E7,9.051252E7,3.3187924E7,3.3187924E7,9.051252E7,6.1850222E7,1.23700444E8,30005.0,30399.0,30005.0,30005.0,30399.0,30202.0,60404.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,6034168.0,0.009945033018636537,0.010075622687336515,0.009945033018636537,0.009945033018636537,0.010075622687336515,0.010010327852986526,0.020020655705973053,Pedro Alvares,9.051252E7,30005,3017084,0.009945033018636537,Karalda Nimwada,3.3187924E7,30399,3017084,0.010075622687336515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,3.3187924E7,9.051252E7,3.3187924E7,3.3187924E7,9.051252E7,6.1850222E7,1.23700444E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,6034168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,9.051252E7,0,3017084,0.0,Karalda Nimwada,3.3187924E7,0,3017084,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_14,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.004474519105202242,Karel de Groot,7.2410016E7,4500,3017084,0.0014915063684007473,Magdalena Predutta,4.2239176E7,4500,3017084,0.0014915063684007473,Francois de Perrier,8.7495436E7,4500,3017084,0.0014915063684007473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_15,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,5.1290428E7,0,3017084,0.0,Esmeralda Clay,3.3187924E7,0,3017084,0.0,Karen Clarens,2.7153756E7,0,3017084,0.0,Kiu Kan,1.2068336E7,0,3017084,0.0,Sean Manney,7.2410016E7,0,3017084,0.0,,,,,,,,,,,,,,,,,,,,
Role_9,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,2484620.0,2524951.0,2487285.0,2484620.0,2524951.0,2498952.0,7496856.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.8235170117901921,0.8368845547555189,0.824400315006145,0.8235170117901921,0.8368845547555189,0.8282672938506187,2.484801881551856,Karel de Groot,7.2410016E7,2524951,3017084,0.8368845547555189,Magdalena Predutta,4.2239176E7,2484620,3017084,0.8235170117901921,Francois de Perrier,8.7495436E7,2487285,3017084,0.824400315006145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_20,3.3187924E7,9.051252E7,7.2410016E7,4.2239176E7,8.7495436E7,6.51690144E7,3.25845072E8,7942.0,11143.0,9938.0,9390.0,11129.0,9908.4,49542.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.0026323430172974964,0.0036933012140198947,0.003293908953148139,0.0031122766220628927,0.00368866097198487,0.0032840981557026583,0.01642049077851329,Karel de Groot,7.2410016E7,11129,3017084,0.00368866097198487,Magdalena Predutta,4.2239176E7,9938,3017084,0.003293908953148139,Pedro Alvares,9.051252E7,9390,3017084,0.0031122766220628927,Francois de Perrier,8.7495436E7,11143,3017084,0.0036933012140198947,Karalda Nimwada,3.3187924E7,7942,3017084,0.0026323430172974964,,,,,,,,,,,,,,,,,,,,
Role_5,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,102752.0,106161.0,105185.0,102752.0,106161.0,104699.33333333333,314098.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.03405672497020302,0.0351866239057315,0.03486313274671835,0.03405672497020302,0.0351866239057315,0.03470216054088429,0.10410648162265287,Karel de Groot,7.2410016E7,102752,3017084,0.03405672497020302,Magdalena Predutta,4.2239176E7,106161,3017084,0.0351866239057315,Francois de Perrier,8.7495436E7,105185,3017084,0.03486313274671835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_6,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,892337.0,913293.0,892877.0,892337.0,913293.0,899502.3333333334,2698507.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.2957614040576928,0.3027071834924053,0.2959403848219009,0.2957614040576928,0.3027071834924053,0.29813632412399965,0.894408972371999,Karel de Groot,7.2410016E7,913293,3017084,0.3027071834924053,Magdalena Predutta,4.2239176E7,892337,3017084,0.2957614040576928,Francois de Perrier,8.7495436E7,892877,3017084,0.2959403848219009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,6034168.0,8.4478352E7,6.3358764E7,5.4307512E7,7.2410016E7,5.5983669777777776E7,5.03853028E8,22930.0,35041.0,28867.0,28099.0,33675.0,29846.11111111111,268615.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,2.7153756E7,0.007600053561650918,0.011614194367806797,0.009567847630360971,0.00931329721015391,0.011161439323532259,0.009892369954270782,0.08903132958843704,Esmana Liubiata,5.4307512E7,28099,3017084,0.00931329721015391,Kim Passa,6.3358764E7,35041,3017084,0.011614194367806797,Alberto Duport,6.6375848E7,26691,3017084,0.0088466214397743,Clement Duchot,6034168.0,33675,3017084,0.011161439323532259,Christian Francois,7.2410016E7,22930,3017084,0.007600053561650918,Nico Ojenbeer,5.4307512E7,31007,3017084,0.010277141770000437,Fjodor Kowalski,7.2410016E7,28867,3017084,0.009567847630360971,Tesca Lobes,8.4478352E7,28474,3017084,0.009437589407520638,Penn Osterwalder,3.017084E7,33831,3017084,0.011213144877636817
Role_8,2.1119588E7,8.7495436E7,5.4307512E7,3.3187924E7,7.2410016E7,5.497797511111111E7,4.94801776E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,2.7153756E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kim Passa,6.3358764E7,0,3017084,0.0,Anna Kaufmann,8.7495436E7,0,3017084,0.0,Miu Hanwan,2.1119588E7,0,3017084,0.0,Nico Ojenbeer,5.4307512E7,0,3017084,0.0,Fjodor Kowalski,7.2410016E7,0,3017084,0.0,Tesca Lobes,8.4478352E7,0,3017084,0.0,Immanuel Karagianni,4.8273344E7,0,3017084,0.0,Elvira Lores,3.3187924E7,0,3017084,0.0,Penn Osterwalder,3.017084E7,0,3017084,0.0
Role_1,2.1119588E7,8.7495436E7,7.2410016E7,6.3358764E7,7.8444184E7,6.671107955555555E7,6.00399716E8,37070.0,51879.0,48047.0,43805.0,48997.0,46223.666666666664,416013.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,2.7153756E7,0.012286698017025711,0.017195079752502746,0.0159249792183446,0.014518985881732163,0.01623985278500698,0.01532064293425926,0.13788578640833335,Esmana Liubiata,5.4307512E7,41271,3017084,0.01367910207339272,Kim Passa,6.3358764E7,51879,3017084,0.017195079752502746,Alberto Duport,6.6375848E7,48047,3017084,0.0159249792183446,Christian Francois,7.2410016E7,49033,3017084,0.016251784835954186,Anna Kaufmann,8.7495436E7,48696,3017084,0.016140087581253952,Miu Hanwan,2.1119588E7,48997,3017084,0.01623985278500698,Fjodor Kowalski,7.2410016E7,43805,3017084,0.014518985881732163,Tesca Lobes,8.4478352E7,47215,3017084,0.015649216263120283,Anne Olwada,7.8444184E7,37070,3017084,0.012286698017025711
Role_2,2.1119588E7,5.4307512E7,4.8273344E7,2.1119588E7,5.4307512E7,4.1233481333333336E7,1.23700444E8,27573.0,33350.0,32049.0,27573.0,33350.0,30990.666666666668,92972.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.009138956687980844,0.01105371941914776,0.010622508355750121,0.009138956687980844,0.01105371941914776,0.010271728154292907,0.030815184462878724,Heinz Gutschmidt,5.4307512E7,33350,3017084,0.01105371941914776,Maris Freeman,2.1119588E7,27573,3017084,0.009138956687980844,Francis Odell,4.8273344E7,32049,3017084,0.010622508355750121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_3,6034168.0,7.8444184E7,5.4307512E7,2.1119588E7,5.4307512E7,4.559149155555555E7,4.10323424E8,2774.0,3272.0,2912.0,2864.0,3073.0,2977.1111111111113,26794.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,2.7153756E7,9.194308146541495E-4,0.0010844908527571655,9.651703432851057E-4,9.492609420221644E-4,0.0010185331266878881,9.867511514797438E-4,0.008880760363317693,Esmana Liubiata,5.4307512E7,3272,3017084,0.0010844908527571655,Clement Duchot,6034168.0,2828,3017084,9.373288910749585E-4,Heinz Gutschmidt,5.4307512E7,3103,3017084,0.0010284765024772265,Miu Hanwan,2.1119588E7,2912,3017084,9.651703432851057E-4,Maris Freeman,2.1119588E7,2897,3017084,9.601986553904366E-4,Nico Ojenbeer,5.4307512E7,2864,3017084,9.492609420221644E-4,Francis Odell,4.8273344E7,3073,3017084,0.0010185331266878881,Fjodor Kowalski,7.2410016E7,2774,3017084,9.194308146541495E-4,Anne Olwada,7.8444184E7,3071,3017084,0.0010178702349685988
Role_4,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,245792.0,259177.0,255637.0,245792.0,259177.0,253535.33333333334,760606.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.0814667407337681,0.08590314356511121,0.0847298252219693,0.0814667407337681,0.08590314356511121,0.08403323650694954,0.2520997095208486,Karel de Groot,7.2410016E7,245792,3017084,0.0814667407337681,Magdalena Predutta,4.2239176E7,255637,3017084,0.0847298252219693,Francois de Perrier,8.7495436E7,259177,3017084,0.08590314356511121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
