type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload
Role_12,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,4202023.0,4249099.0,4215612.0,4215199.0,4229128.0,4222212.2,2.1111061E7,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,1.392743125481425,1.4083462707700547,1.3972471432681357,1.3971102561281026,1.4017269655070923,1.399434752230962,6.99717376115481,Carmen Finacse,5.1290428E7,4229128,3017084,1.4017269655070923,Esmeralda Clay,3.3187924E7,4215612,3017084,1.3972471432681357,Karen Clarens,2.7153756E7,4249099,3017084,1.4083462707700547,Kiu Kan,1.2068336E7,4202023,3017084,1.392743125481425,Sean Manney,7.2410016E7,4215199,3017084,1.3971102561281026
Role_13,2.1119588E7,7.8444184E7,4.8273344E7,3.3187924E7,7.2410016E7,5.06870112E7,2.53435056E8,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,13500.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,8.949038210404484E-4,8.949038210404484E-4,8.949038210404484E-4,8.949038210404484E-4,8.949038210404484E-4,8.949038210404484E-4,0.004474519105202242,Miu Hanwan,2.1119588E7,2700,3017084,8.949038210404484E-4,Fjodor Kowalski,7.2410016E7,2700,3017084,8.949038210404484E-4,Anne Olwada,7.8444184E7,2700,3017084,8.949038210404484E-4,Immanuel Karagianni,4.8273344E7,2700,3017084,8.949038210404484E-4,Elvira Lores,3.3187924E7,2700,3017084,8.949038210404484E-4
Role_10,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,41876.0,43524.0,42419.0,41876.0,43524.0,42606.333333333336,127819.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.013879626818477708,0.014425849595172027,0.014059601920264732,0.013879626818477708,0.014425849595172027,0.01412169277797149,0.042365078333914466,Karel de Groot,7.2410016E7,43524,3017084,0.014425849595172027,Magdalena Predutta,4.2239176E7,42419,3017084,0.014059601920264732,Francois de Perrier,8.7495436E7,41876,3017084,0.013879626818477708,,,,,,,,,,
Role_11,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,48741.0,58766.0,51605.0,49578.0,53035.0,52345.0,261725.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.01615500264493796,0.01947774738787518,0.017104263586960124,0.0164324228294605,0.017578231166251918,0.017349533523097135,0.08674766761548568,Carmen Finacse,5.1290428E7,58766,3017084,0.01947774738787518,Esmeralda Clay,3.3187924E7,51605,3017084,0.017104263586960124,Karen Clarens,2.7153756E7,49578,3017084,0.0164324228294605,Kiu Kan,1.2068336E7,53035,3017084,0.017578231166251918,Sean Manney,7.2410016E7,48741,3017084,0.01615500264493796
Role_16,3.3187924E7,9.051252E7,3.3187924E7,3.3187924E7,9.051252E7,6.1850222E7,1.23700444E8,30005.0,30399.0,30005.0,30005.0,30399.0,30202.0,60404.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,6034168.0,0.009945033018636537,0.010075622687336515,0.009945033018636537,0.009945033018636537,0.010075622687336515,0.010010327852986526,0.020020655705973053,Pedro Alvares,9.051252E7,30005,3017084,0.009945033018636537,Karalda Nimwada,3.3187924E7,30399,3017084,0.010075622687336515,,,,,,,,,,,,,,,
Role_17,3.3187924E7,9.051252E7,3.3187924E7,3.3187924E7,9.051252E7,6.1850222E7,1.23700444E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,6034168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,9.051252E7,0,3017084,0.0,Karalda Nimwada,3.3187924E7,0,3017084,0.0,,,,,,,,,,,,,,,
Role_14,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.004474519105202242,Karel de Groot,7.2410016E7,4500,3017084,0.0014915063684007473,Magdalena Predutta,4.2239176E7,4500,3017084,0.0014915063684007473,Francois de Perrier,8.7495436E7,4500,3017084,0.0014915063684007473,,,,,,,,,,
Role_15,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,5.1290428E7,0,3017084,0.0,Esmeralda Clay,3.3187924E7,0,3017084,0.0,Karen Clarens,2.7153756E7,0,3017084,0.0,Kiu Kan,1.2068336E7,0,3017084,0.0,Sean Manney,7.2410016E7,0,3017084,0.0
Role_9,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,2466585.0,2550191.0,2480080.0,2466585.0,2550191.0,2498952.0,7496856.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.8175393857115015,0.8452502482529489,0.8220122475874055,0.8175393857115015,0.8452502482529489,0.8282672938506187,2.484801881551856,Karel de Groot,7.2410016E7,2550191,3017084,0.8452502482529489,Magdalena Predutta,4.2239176E7,2466585,3017084,0.8175393857115015,Francois de Perrier,8.7495436E7,2480080,3017084,0.8220122475874055,,,,,,,,,,
Role_5,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,102987.0,106614.0,104497.0,102987.0,106614.0,104699.33333333333,314098.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.0341346147472195,0.035336768880150506,0.03463509799528286,0.0341346147472195,0.035336768880150506,0.03470216054088429,0.10410648162265287,Karel de Groot,7.2410016E7,104497,3017084,0.03463509799528286,Magdalena Predutta,4.2239176E7,102987,3017084,0.0341346147472195,Francois de Perrier,8.7495436E7,106614,3017084,0.035336768880150506,,,,,,,,,,
Role_6,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,875284.0,930090.0,893133.0,875284.0,930090.0,899502.3333333334,2698507.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.29010925781317326,0.3082744795968558,0.2960252349619699,0.29010925781317326,0.3082744795968558,0.29813632412399965,0.894408972371999,Karel de Groot,7.2410016E7,930090,3017084,0.3082744795968558,Magdalena Predutta,4.2239176E7,893133,3017084,0.2960252349619699,Francois de Perrier,8.7495436E7,875284,3017084,0.29010925781317326,,,,,,,,,,
Role_7,3.017084E7,8.4478352E7,7.2410016E7,6.6375848E7,7.8444184E7,6.6375848E7,3.3187924E8,49386.0,56657.0,54898.0,51090.0,56584.0,53723.0,268615.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.016368785224408735,0.018778728069884697,0.018195714802769828,0.01693356896924315,0.01875453252213064,0.017806265917687414,0.08903132958843707,Alberto Duport,6.6375848E7,49386,3017084,0.016368785224408735,Christian Francois,7.2410016E7,51090,3017084,0.01693356896924315,Tesca Lobes,8.4478352E7,54898,3017084,0.018195714802769828,Anne Olwada,7.8444184E7,56584,3017084,0.01875453252213064,Penn Osterwalder,3.017084E7,56657,3017084,0.018778728069884697
Role_8,6034168.0,7.2410016E7,5.4307512E7,4.8273344E7,6.6375848E7,4.94801776E7,2.47400888E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Esmana Liubiata,5.4307512E7,0,3017084,0.0,Alberto Duport,6.6375848E7,0,3017084,0.0,Clement Duchot,6034168.0,0,3017084,0.0,Fjodor Kowalski,7.2410016E7,0,3017084,0.0,Immanuel Karagianni,4.8273344E7,0,3017084,0.0
Role_1,3.3187924E7,8.7495436E7,7.2410016E7,6.3358764E7,7.8444184E7,6.69792648E7,3.34896324E8,78682.0,86105.0,83209.0,82700.0,85317.0,83202.6,416013.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.026078823128557242,0.028539145744699186,0.027579278535168394,0.02741057259260929,0.028277966407299234,0.02757715728166667,0.13788578640833335,Kim Passa,6.3358764E7,86105,3017084,0.028539145744699186,Christian Francois,7.2410016E7,85317,3017084,0.028277966407299234,Anna Kaufmann,8.7495436E7,82700,3017084,0.02741057259260929,Anne Olwada,7.8444184E7,78682,3017084,0.026078823128557242,Elvira Lores,3.3187924E7,83209,3017084,0.027579278535168394
Role_2,2.1119588E7,5.4307512E7,4.8273344E7,2.1119588E7,5.4307512E7,4.1233481333333336E7,1.23700444E8,30624.0,31720.0,30628.0,30624.0,31720.0,30990.666666666668,92972.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.010150198005756552,0.010513462667927045,0.01015152378919513,0.010150198005756552,0.010513462667927045,0.010271728154292909,0.030815184462878727,Heinz Gutschmidt,5.4307512E7,30624,3017084,0.010150198005756552,Maris Freeman,2.1119588E7,30628,3017084,0.01015152378919513,Francis Odell,4.8273344E7,31720,3017084,0.010513462667927045,,,,,,,,,,
Role_3,2.1119588E7,5.4307512E7,4.8273344E7,2.1119588E7,5.4307512E7,4.1233481333333336E7,1.23700444E8,8720.0,9128.0,8946.0,8720.0,9128.0,8931.333333333334,26794.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.0028902078961010034,0.0030254378068360044,0.0029651146603806855,0.0028902078961010034,0.0030254378068360044,0.002960253454439231,0.008880760363317693,Heinz Gutschmidt,5.4307512E7,8720,3017084,0.0028902078961010034,Maris Freeman,2.1119588E7,9128,3017084,0.0030254378068360044,Francis Odell,4.8273344E7,8946,3017084,0.0029651146603806855,,,,,,,,,,
Role_4,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,249756.0,255430.0,255420.0,249756.0,255430.0,253535.33333333334,760606.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.08278059212139934,0.08466121592902286,0.08465790147042641,0.08278059212139934,0.08466121592902286,0.08403323650694954,0.2520997095208486,Karel de Groot,7.2410016E7,255420,3017084,0.08465790147042641,Magdalena Predutta,4.2239176E7,255430,3017084,0.08466121592902286,Francois de Perrier,8.7495436E7,249756,3017084,0.08278059212139934,,,,,,,,,,
Role_18,3.3187924E7,9.051252E7,3.3187924E7,3.3187924E7,9.051252E7,6.1850222E7,1.23700444E8,63374.0,64266.0,63374.0,63374.0,64266.0,63820.0,127640.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,6034168.0,0.021005049909117546,0.021300699615920536,0.021005049909117546,0.021005049909117546,0.021300699615920536,0.021152874762519043,0.042305749525038086,Pedro Alvares,9.051252E7,63374,3017084,0.021005049909117546,Karalda Nimwada,3.3187924E7,64266,3017084,0.021300699615920536,,,,,,,,,,,,,,,
