,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,20.166666666666668,,,13.0,6.0,[ 9 11  8  7  7  8],"['Christian Francois', 'Kim Passa', 'Elvira Lores', 'Penn Osterwalder', 'Anne Olwada', 'Anna Kaufmann']",Role 1,,Role_1,,Create Purchase Requisition
1,,13.666666666666666,,,8.0,3.0,[28 32 28  0  0  0],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell']",Role 2,,Role_2,,Analyze Purchase Requisition
2,,13.666666666666666,,,17.0,3.0,[28 27 33  0  0  0],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell']",Role 3,,Role_3,,Create Request for Quotation
3,,22.333333333333332,,,5.0,3.0,[30 31 27  0  0  0],"['Karel de Groot', 'Magdalena Predutta', 'Francois de Perrier']",Role 4,,Role_4,,Analyze Request for Quotation
4,,22.333333333333332,,,9.0,3.0,[34 24 30  0  0  0],"['Karel de Groot', 'Magdalena Predutta', 'Francois de Perrier']",Role 5,,Role_5,,Send Request for Quotation to Supplier
5,,22.333333333333332,,,11.0,3.0,[22 36 30  0  0  0],"['Karel de Groot', 'Magdalena Predutta', 'Francois de Perrier']",Role 6,,Role_6,,Create Quotation comparison Map
6,,21.333333333333332,,,6.0,6.0,[ 8  9  8 12  7  7],"['Christian Francois', 'Alberto Duport', 'Penn Osterwalder', 'Tesca Lobes', 'Anne Olwada', 'Nico Ojenbeer']",Role 7,,Role_7,,Analyze Quotation Comparison Map
7,,14.833333333333334,,,0.0,6.0,[7 9 7 7 8 6],"['Esmana Liubiata', 'Fjodor Kowalski', 'Clement Duchot', 'Immanuel Karagianni', 'Alberto Duport', 'Miu Hanwan']",Role 8,,Role_8,,Choose best option
8,,22.333333333333332,,,7.0,3.0,[31 32 25  0  0  0],"['Karel de Groot', 'Magdalena Predutta', 'Francois de Perrier']",Role 9,,Role_9,,Settle Conditions With Supplier
9,,22.333333333333332,,,4.0,3.0,[32 28 28  0  0  0],"['Karel de Groot', 'Magdalena Predutta', 'Francois de Perrier']",Role 10,,Role_10,,Create Purchase Order
10,,13.0,,,3.0,5.0,[24 16 11 16 21  0],"['Kiu Kan', 'Sean Manney', 'Esmeralda Clay', 'Karen Clarens', 'Carmen Finacse']",Role 11,,Role_11,,Confirm Purchase Order
11,,13.0,,,2.0,5.0,[20 16 20 19 13  0],"['Kiu Kan', 'Sean Manney', 'Esmeralda Clay', 'Karen Clarens', 'Carmen Finacse']",Role 12,,Role_12,,Deliver Goods Services
12,,18.666666666666668,,,16.0,6.0,[ 8 10  8  7  7 11],"['Fjodor Kowalski', 'Immanuel Karagianni', 'Elvira Lores', 'Tesca Lobes', 'Anne Olwada', 'Miu Hanwan']",Role 13,,Role_13,,Release Purchase Order
13,,22.333333333333332,,,1.0,3.0,[33 27 28  0  0  0],"['Karel de Groot', 'Magdalena Predutta', 'Francois de Perrier']",Role 14,,Role_14,,Approve Purchase Order for payment
14,,13.0,,,10.0,5.0,[24 16 19 15 14  0],"['Kiu Kan', 'Sean Manney', 'Esmeralda Clay', 'Karen Clarens', 'Carmen Finacse']",Role 15,,Role_15,,Send Invoice
15,,20.5,,,14.0,2.0,[37 51  0  0  0  0],"['Pedro Alvares', 'Karalda Nimwada']",Role 16,,Role_16,,Release Supplier's Invoice
16,,20.5,,,12.0,2.0,[38 50  0  0  0  0],"['Pedro Alvares', 'Karalda Nimwada']",Role 17,,Role_17,,Authorize Supplier's Invoice payment
17,,20.5,,,15.0,2.0,[48 40  0  0  0  0],"['Pedro Alvares', 'Karalda Nimwada']",Role 18,,Role_18,,Pay Invoice
0,,20.166666666666668,24.0,27720.0,,,,Christian Francois,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,20.166666666666668,21.0,25260.0,,,,Kim Passa,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,20.166666666666668,11.0,19920.0,,,,Elvira Lores,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,20.166666666666668,10.0,24540.0,,,,Penn Osterwalder,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
4,,20.166666666666668,26.0,23460.0,,,,Anne Olwada,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
5,,20.166666666666668,29.0,22800.0,,,,Anna Kaufmann,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
6,,13.666666666666666,18.0,14100.0,,,,Heinz Gutschmidt,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
7,,13.666666666666666,7.0,14760.0,,,,Maris Freeman,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
8,,13.666666666666666,16.0,20520.0,,,,Francis Odell,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
9,,13.666666666666666,18.0,14100.0,,,,Heinz Gutschmidt,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
10,,13.666666666666666,7.0,14760.0,,,,Maris Freeman,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
11,,13.666666666666666,16.0,20520.0,,,,Francis Odell,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
12,,22.333333333333332,24.0,1480140.0,,,,Karel de Groot,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
13,,22.333333333333332,14.0,1648500.0,,,,Magdalena Predutta,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
14,,22.333333333333332,29.0,1261740.0,,,,Francois de Perrier,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
15,,22.333333333333332,24.0,1480140.0,,,,Karel de Groot,Role 5,Role_5,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
16,,22.333333333333332,14.0,1648500.0,,,,Magdalena Predutta,Role 5,Role_5,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
17,,22.333333333333332,29.0,1261740.0,,,,Francois de Perrier,Role 5,Role_5,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
18,,22.333333333333332,24.0,1480140.0,,,,Karel de Groot,Role 6,Role_6,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
19,,22.333333333333332,14.0,1648500.0,,,,Magdalena Predutta,Role 6,Role_6,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
20,,22.333333333333332,29.0,1261740.0,,,,Francois de Perrier,Role 6,Role_6,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
21,,21.333333333333332,24.0,27720.0,,,,Christian Francois,Role 7,Role_7,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
22,,21.333333333333332,22.0,24420.0,,,,Alberto Duport,Role 7,Role_7,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
23,,21.333333333333332,10.0,24540.0,,,,Penn Osterwalder,Role 7,Role_7,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
24,,21.333333333333332,28.0,18000.0,,,,Tesca Lobes,Role 7,Role_7,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
25,,21.333333333333332,26.0,23460.0,,,,Anne Olwada,Role 7,Role_7,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
26,,21.333333333333332,18.0,14100.0,,,,Nico Ojenbeer,Role 7,Role_7,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
27,,14.833333333333334,18.0,20460.0,,,,Esmana Liubiata,Role 8,Role_8,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
28,,14.833333333333334,24.0,16860.0,,,,Fjodor Kowalski,Role 8,Role_8,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
29,,14.833333333333334,2.0,21180.0,,,,Clement Duchot,Role 8,Role_8,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
30,,14.833333333333334,16.0,5280.0,,,,Immanuel Karagianni,Role 8,Role_8,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
31,,14.833333333333334,22.0,24420.0,,,,Alberto Duport,Role 8,Role_8,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
32,,14.833333333333334,7.0,13860.0,,,,Miu Hanwan,Role 8,Role_8,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
33,,22.333333333333332,24.0,1480140.0,,,,Karel de Groot,Role 9,Role_9,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
34,,22.333333333333332,14.0,1648500.0,,,,Magdalena Predutta,Role 9,Role_9,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
