,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,18.46153846153846,,,19.0,13.0,[50 42 40 54 46 52 41 44 43 41 40 39 44],"['Christian Francois', 'Kim Passa', 'Clement Duchot', 'Tesca Lobes', 'Anne Olwada', 'Anna Kaufmann', 'Miu Hanwan', 'Esmana Liubiata', 'Fjodor Kowalski', 'Penn Osterwalder', 'Elvira Lores', 'Nico Ojenbeer', 'Alberto Duport']",Role 1,,Role_1,,Create Purchase Requisition
1,,13.666666666666666,,,18.0,3.0,[124 133 125   0   0   0   0   0   0   0   0   0   0],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell']",Role 2,,Role_2,,Analyze Purchase Requisition
2,,16.846153846153847,,,11.0,13.0,[ 93 115  18  99  18  16  18  17  17  23  18  17  16],"['Heinz Gutschmidt', 'Francis Odell', 'Nico Ojenbeer', 'Maris Freeman', 'Clement Duchot', 'Tesca Lobes', 'Anne Olwada', 'Anna Kaufmann', 'Miu Hanwan', 'Esmana Liubiata', 'Fjodor Kowalski', 'Penn Osterwalder', 'Immanuel Karagianni']",Role 3,,Role_3,,Create Request for Quotation
3,,22.333333333333332,,,13.0,3.0,[376 364 367   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 4,,Role_4,,Analyze Request for Quotation
4,,17.46153846153846,,,4.0,13.0,[38 40 40 40 32 22 50 31 47 36 37 37 43],"['Nico Ojenbeer', 'Christian Francois', 'Kim Passa', 'Alberto Duport', 'Clement Duchot', 'Tesca Lobes', 'Anne Olwada', 'Elvira Lores', 'Miu Hanwan', 'Esmana Liubiata', 'Fjodor Kowalski', 'Penn Osterwalder', 'Immanuel Karagianni']",Role 5,,Role_5,,Amend Request for Quotation
5,,22.333333333333332,,,16.0,3.0,[129 156 128   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 6,,Role_6,,Send Request for Quotation to Supplier
6,,22.333333333333332,,,15.0,3.0,[149 144 120   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 7,,Role_7,,Create Quotation comparison Map
7,,17.46153846153846,,,2.0,13.0,[32 29 32 37 26 25 26 29 30 30 27 33 34],"['Christian Francois', 'Kim Passa', 'Clement Duchot', 'Tesca Lobes', 'Anne Olwada', 'Elvira Lores', 'Miu Hanwan', 'Esmana Liubiata', 'Fjodor Kowalski', 'Penn Osterwalder', 'Immanuel Karagianni', 'Nico Ojenbeer', 'Alberto Duport']",Role 8,,Role_8,,Analyze Quotation Comparison Map
8,,17.846153846153847,,,3.0,13.0,[29 35 27 29 27 28 28 27 37 35 35 32 26],"['Elvira Lores', 'Kim Passa', 'Clement Duchot', 'Tesca Lobes', 'Anne Olwada', 'Anna Kaufmann', 'Miu Hanwan', 'Esmana Liubiata', 'Fjodor Kowalski', 'Penn Osterwalder', 'Immanuel Karagianni', 'Nico Ojenbeer', 'Alberto Duport']",Role 9,,Role_9,,Choose best option
9,,22.333333333333332,,,0.0,3.0,[144 125 144   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 10,,Role_10,,Settle Conditions With Supplier
10,,22.333333333333332,,,6.0,3.0,[148 138 127   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 11,,Role_11,,Create Purchase Order
11,,13.0,,,12.0,5.0,[102  65  74  79  93   0   0   0   0   0   0   0   0],"['Kiu Kan', 'Esmeralda Clay', 'Sean Manney', 'Karen Clarens', 'Carmen Finacse']",Role 12,,Role_12,,Confirm Purchase Order
12,,13.0,,,17.0,5.0,[90 85 81 74 83  0  0  0  0  0  0  0  0],"['Kiu Kan', 'Esmeralda Clay', 'Sean Manney', 'Karen Clarens', 'Carmen Finacse']",Role 13,,Role_13,,Deliver Goods Services
13,,18.307692307692307,,,1.0,13.0,[30 30 31 36 32 25 33 35 30 33 38 34 28],"['Christian Francois', 'Kim Passa', 'Clement Duchot', 'Tesca Lobes', 'Anne Olwada', 'Anna Kaufmann', 'Miu Hanwan', 'Elvira Lores', 'Fjodor Kowalski', 'Penn Osterwalder', 'Immanuel Karagianni', 'Nico Ojenbeer', 'Alberto Duport']",Role 14,,Role_14,,Release Purchase Order
14,,22.333333333333332,,,20.0,3.0,[138 142 133   0   0   0   0   0   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 15,,Role_15,,Approve Purchase Order for payment
15,,13.0,,,8.0,5.0,[116  80  63  71  83   0   0   0   0   0   0   0   0],"['Kiu Kan', 'Esmeralda Clay', 'Sean Manney', 'Karen Clarens', 'Carmen Finacse']",Role 16,,Role_16,,Send Invoice
16,,20.5,,,9.0,2.0,[202 201   0   0   0   0   0   0   0   0   0   0   0],"['Pedro Alvares', 'Karalda Nimwada']",Role 17,,Role_17,,Release Supplier's Invoice
17,,21.6,,,14.0,5.0,[47 33  5  7 14  0  0  0  0  0  0  0  0],"['Pedro Alvares', 'Karalda Nimwada', 'Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 18,,Role_18,,Settle Dispute With Supplier
18,,20.5,,,7.0,2.0,[216 197   0   0   0   0   0   0   0   0   0   0   0],"['Pedro Alvares', 'Karalda Nimwada']",Role 19,,Role_19,,Authorize Supplier's Invoice payment
19,,20.5,,,10.0,2.0,[216 197   0   0   0   0   0   0   0   0   0   0   0],"['Pedro Alvares', 'Karalda Nimwada']",Role 20,,Role_20,,Pay Invoice
20,,13.625,,,5.0,8.0,[1 2 1 2 1 2 1 1 0 0 0 0 0],"['Christian Francois', 'Kim Passa', 'Clement Duchot', 'Miu Hanwan', 'Penn Osterwalder', 'Immanuel Karagianni', 'Nico Ojenbeer', 'Elvira Lores']",Role 21,,Role_21,,Amend Purchase Requisition
0,,18.46153846153846,24.0,161280.0,,,,Christian Francois,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,18.46153846153846,21.0,150540.0,,,,Kim Passa,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
