type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload
Role_12,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,4202023.0,4249099.0,4215612.0,4215199.0,4229128.0,4222212.2,2.1111061E7,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,1.392743125481425,1.4083462707700547,1.3972471432681357,1.3971102561281026,1.4017269655070923,1.399434752230962,6.99717376115481,Carmen Finacse,5.1290428E7,4229128,3017084,1.4017269655070923,Esmeralda Clay,3.3187924E7,4215612,3017084,1.3972471432681357,Karen Clarens,2.7153756E7,4249099,3017084,1.4083462707700547,Kiu Kan,1.2068336E7,4202023,3017084,1.392743125481425,Sean Manney,7.2410016E7,4215199,3017084,1.3971102561281026,,,,,
Role_13,2.1119588E7,8.4478352E7,4.8273344E7,3.3187924E7,7.8444184E7,5.6318901333333336E7,3.37913408E8,2220.0,2280.0,2220.0,2220.0,2280.0,2250.0,13500.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.8102504E7,7.358098084110353E-4,7.55696559989712E-4,7.358098084110353E-4,7.358098084110353E-4,7.55696559989712E-4,7.457531842003736E-4,0.004474519105202242,Miu Hanwan,2.1119588E7,2280,3017084,7.55696559989712E-4,Fjodor Kowalski,7.2410016E7,2220,3017084,7.358098084110353E-4,Tesca Lobes,8.4478352E7,2220,3017084,7.358098084110353E-4,Anne Olwada,7.8444184E7,2280,3017084,7.55696559989712E-4,Immanuel Karagianni,4.8273344E7,2220,3017084,7.358098084110353E-4,Elvira Lores,3.3187924E7,2280,3017084,7.55696559989712E-4
Role_10,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,41876.0,43524.0,42419.0,41876.0,43524.0,42606.333333333336,127819.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.013879626818477708,0.014425849595172027,0.014059601920264732,0.013879626818477708,0.014425849595172027,0.01412169277797149,0.042365078333914466,Karel de Groot,7.2410016E7,43524,3017084,0.014425849595172027,Magdalena Predutta,4.2239176E7,42419,3017084,0.014059601920264732,Francois de Perrier,8.7495436E7,41876,3017084,0.013879626818477708,,,,,,,,,,,,,,,
Role_11,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,48879.0,58999.0,50233.0,49578.0,54036.0,52345.0,261725.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.016200742173568917,0.019554974273172373,0.016649519867527718,0.0164324228294605,0.017910008471756174,0.01734953352309714,0.08674766761548569,Carmen Finacse,5.1290428E7,58999,3017084,0.019554974273172373,Esmeralda Clay,3.3187924E7,54036,3017084,0.017910008471756174,Karen Clarens,2.7153756E7,49578,3017084,0.0164324228294605,Kiu Kan,1.2068336E7,48879,3017084,0.016200742173568917,Sean Manney,7.2410016E7,50233,3017084,0.016649519867527718,,,,,
Role_16,3.3187924E7,9.051252E7,3.3187924E7,3.3187924E7,9.051252E7,6.1850222E7,1.23700444E8,30005.0,30399.0,30005.0,30005.0,30399.0,30202.0,60404.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,6034168.0,0.009945033018636537,0.010075622687336515,0.009945033018636537,0.009945033018636537,0.010075622687336515,0.010010327852986526,0.020020655705973053,Pedro Alvares,9.051252E7,30005,3017084,0.009945033018636537,Karalda Nimwada,3.3187924E7,30399,3017084,0.010075622687336515,,,,,,,,,,,,,,,,,,,,
Role_17,3.3187924E7,9.051252E7,3.3187924E7,3.3187924E7,9.051252E7,6.1850222E7,1.23700444E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,6034168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,9.051252E7,0,3017084,0.0,Karalda Nimwada,3.3187924E7,0,3017084,0.0,,,,,,,,,,,,,,,,,,,,
Role_14,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.004474519105202242,Karel de Groot,7.2410016E7,4500,3017084,0.0014915063684007473,Magdalena Predutta,4.2239176E7,4500,3017084,0.0014915063684007473,Francois de Perrier,8.7495436E7,4500,3017084,0.0014915063684007473,,,,,,,,,,,,,,,
Role_15,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,5.1290428E7,0,3017084,0.0,Esmeralda Clay,3.3187924E7,0,3017084,0.0,Karen Clarens,2.7153756E7,0,3017084,0.0,Kiu Kan,1.2068336E7,0,3017084,0.0,Sean Manney,7.2410016E7,0,3017084,0.0,,,,,
Role_9,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,2466585.0,2550191.0,2480080.0,2466585.0,2550191.0,2498952.0,7496856.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.8175393857115015,0.8452502482529489,0.8220122475874055,0.8175393857115015,0.8452502482529489,0.8282672938506187,2.484801881551856,Karel de Groot,7.2410016E7,2550191,3017084,0.8452502482529489,Magdalena Predutta,4.2239176E7,2466585,3017084,0.8175393857115015,Francois de Perrier,8.7495436E7,2480080,3017084,0.8220122475874055,,,,,,,,,,,,,,,
Role_5,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,103300.0,106301.0,104497.0,103300.0,106301.0,104699.33333333333,314098.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.03423835730128826,0.03523302632608174,0.03463509799528286,0.03423835730128826,0.03523302632608174,0.03470216054088429,0.10410648162265287,Karel de Groot,7.2410016E7,104497,3017084,0.03463509799528286,Magdalena Predutta,4.2239176E7,103300,3017084,0.03423835730128826,Francois de Perrier,8.7495436E7,106301,3017084,0.03523302632608174,,,,,,,,,,,,,,,
Role_6,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,871078.0,913803.0,913626.0,871078.0,913803.0,899502.3333333334,2698507.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.28871519652750804,0.302876220880824,0.3028175549636669,0.28871519652750804,0.302876220880824,0.29813632412399965,0.894408972371999,Karel de Groot,7.2410016E7,913626,3017084,0.3028175549636669,Magdalena Predutta,4.2239176E7,913803,3017084,0.302876220880824,Francois de Perrier,8.7495436E7,871078,3017084,0.28871519652750804,,,,,,,,,,,,,,,
Role_7,3.017084E7,8.4478352E7,6.6375848E7,5.4307512E7,7.8444184E7,6.4364458666666664E7,3.86186752E8,39488.0,49865.0,42411.0,41836.0,47525.0,44769.166666666664,268615.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.8102504E7,0.013088134105646378,0.0165275477911785,0.014056950353387575,0.013866368984091925,0.015751964479610112,0.014838554931406173,0.08903132958843704,Alberto Duport,6.6375848E7,39488,3017084,0.013088134105646378,Christian Francois,7.2410016E7,49865,3017084,0.0165275477911785,Nico Ojenbeer,5.4307512E7,42411,3017084,0.014056950353387575,Tesca Lobes,8.4478352E7,47490,3017084,0.015740363874522552,Anne Olwada,7.8444184E7,41836,3017084,0.013866368984091925,Penn Osterwalder,3.017084E7,47525,3017084,0.015751964479610112
Role_8,6034168.0,7.2410016E7,4.8273344E7,2.1119588E7,6.6375848E7,4.4753412666666664E7,2.68520476E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.8102504E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Esmana Liubiata,5.4307512E7,0,3017084,0.0,Alberto Duport,6.6375848E7,0,3017084,0.0,Clement Duchot,6034168.0,0,3017084,0.0,Miu Hanwan,2.1119588E7,0,3017084,0.0,Fjodor Kowalski,7.2410016E7,0,3017084,0.0,Immanuel Karagianni,4.8273344E7,0,3017084,0.0
