,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,24.0,,,19.0,8.0,[50 42 43 54 46 52 44 44],"['Christian Francois', 'Kim Passa', 'Fjodor Kowalski', 'Tesca Lobes', 'Anne Olwada', 'Anna Kaufmann', 'Alberto Duport', 'Esmana Liubiata']",Role 1,,Role_1,,Create Purchase Requisition
1,,13.666666666666666,,,18.0,3.0,[124 133 125   0   0   0   0   0],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell']",Role 2,,Role_2,,Analyze Purchase Requisition
2,,16.125,,,11.0,8.0,[ 93  23  18  99  18  18  18 115],"['Heinz Gutschmidt', 'Esmana Liubiata', 'Nico Ojenbeer', 'Maris Freeman', 'Clement Duchot', 'Fjodor Kowalski', 'Anne Olwada', 'Francis Odell']",Role 3,,Role_3,,Create Request for Quotation
3,,22.333333333333332,,,13.0,3.0,[376 364 367   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 4,,Role_4,,Analyze Request for Quotation
4,,19.75,,,4.0,8.0,[47 40 40 38 43 40 50 37],"['Miu Hanwan', 'Christian Francois', 'Kim Passa', 'Nico Ojenbeer', 'Immanuel Karagianni', 'Alberto Duport', 'Anne Olwada', 'Fjodor Kowalski']",Role 5,,Role_5,,Amend Request for Quotation
5,,22.333333333333332,,,16.0,3.0,[129 156 128   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 6,,Role_6,,Send Request for Quotation to Supplier
6,,22.333333333333332,,,15.0,3.0,[149 144 120   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 7,,Role_7,,Create Quotation comparison Map
7,,18.25,,,2.0,8.0,[32 34 32 37 30 30 33 29],"['Christian Francois', 'Alberto Duport', 'Clement Duchot', 'Tesca Lobes', 'Penn Osterwalder', 'Fjodor Kowalski', 'Nico Ojenbeer', 'Esmana Liubiata']",Role 8,,Role_8,,Analyze Quotation Comparison Map
8,,16.875,,,3.0,8.0,[37 35 35 29 35 29 28 32],"['Fjodor Kowalski', 'Kim Passa', 'Penn Osterwalder', 'Tesca Lobes', 'Immanuel Karagianni', 'Elvira Lores', 'Miu Hanwan', 'Nico Ojenbeer']",Role 9,,Role_9,,Choose best option
9,,22.333333333333332,,,0.0,3.0,[144 125 144   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 10,,Role_10,,Settle Conditions With Supplier
10,,22.333333333333332,,,6.0,3.0,[148 138 127   0   0   0   0   0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 11,,Role_11,,Create Purchase Order
