type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload,instances_instance_13_id,instances_instance_13_cost,instances_instance_13_time_inUse,instances_instance_13_time_available,instances_instance_13_time_workload
Role_12,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,4202023.0,4249099.0,4215612.0,4215199.0,4229128.0,4222212.2,2.1111061E7,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,1.392743125481425,1.4083462707700547,1.3972471432681357,1.3971102561281026,1.4017269655070923,1.399434752230962,6.99717376115481,Carmen Finacse,5.1290428E7,4229128,3017084,1.4017269655070923,Esmeralda Clay,3.3187924E7,4215612,3017084,1.3972471432681357,Karen Clarens,2.7153756E7,4249099,3017084,1.4083462707700547,Kiu Kan,1.2068336E7,4202023,3017084,1.392743125481425,Sean Manney,7.2410016E7,4215199,3017084,1.3971102561281026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_13,6034168.0,8.7495436E7,5.4307512E7,3.3187924E7,7.2410016E7,5.5169536E7,7.72373504E8,960.0,1020.0,960.0,960.0,960.0,964.2857142857143,13500.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,4.2239176E7,3.181880252588261E-4,3.380747768375027E-4,3.181880252588261E-4,3.181880252588261E-4,3.181880252588261E-4,3.196085075144458E-4,0.004474519105202242,Kim Passa,6.3358764E7,1020,3017084,3.380747768375027E-4,Clement Duchot,6034168.0,960,3017084,3.181880252588261E-4,Nico Ojenbeer,5.4307512E7,960,3017084,3.181880252588261E-4,Fjodor Kowalski,7.2410016E7,960,3017084,3.181880252588261E-4,Elvira Lores,3.3187924E7,960,3017084,3.181880252588261E-4,Esmana Liubiata,5.4307512E7,960,3017084,3.181880252588261E-4,Alberto Duport,6.6375848E7,960,3017084,3.181880252588261E-4,Christian Francois,7.2410016E7,960,3017084,3.181880252588261E-4,Anna Kaufmann,8.7495436E7,960,3017084,3.181880252588261E-4,Miu Hanwan,2.1119588E7,960,3017084,3.181880252588261E-4,Tesca Lobes,8.4478352E7,960,3017084,3.181880252588261E-4,Anne Olwada,7.8444184E7,960,3017084,3.181880252588261E-4,Immanuel Karagianni,4.8273344E7,960,3017084,3.181880252588261E-4,Penn Osterwalder,3.017084E7,960,3017084,3.181880252588261E-4
Role_10,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,41128.0,43524.0,43167.0,41128.0,43524.0,42606.333333333336,127819.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.01363170531546354,0.014425849595172027,0.0143075234232789,0.01363170531546354,0.014425849595172027,0.01412169277797149,0.042365078333914466,Karel de Groot,7.2410016E7,43524,3017084,0.014425849595172027,Magdalena Predutta,4.2239176E7,43167,3017084,0.0143075234232789,Francois de Perrier,8.7495436E7,41128,3017084,0.01363170531546354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,46467.0,58766.0,52142.0,51006.0,53344.0,52345.0,261725.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.015401294760106116,0.01947774738787518,0.01728225001358928,0.016905727517033002,0.0176806479368821,0.017349533523097135,0.08674766761548568,Carmen Finacse,5.1290428E7,58766,3017084,0.01947774738787518,Esmeralda Clay,3.3187924E7,51006,3017084,0.016905727517033002,Karen Clarens,2.7153756E7,46467,3017084,0.015401294760106116,Kiu Kan,1.2068336E7,52142,3017084,0.01728225001358928,Sean Manney,7.2410016E7,53344,3017084,0.0176806479368821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_16,3.3187924E7,9.051252E7,3.3187924E7,3.3187924E7,9.051252E7,6.1850222E7,1.23700444E8,30005.0,30399.0,30005.0,30005.0,30399.0,30202.0,60404.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,6034168.0,0.009945033018636537,0.010075622687336515,0.009945033018636537,0.009945033018636537,0.010075622687336515,0.010010327852986526,0.020020655705973053,Pedro Alvares,9.051252E7,30005,3017084,0.009945033018636537,Karalda Nimwada,3.3187924E7,30399,3017084,0.010075622687336515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,3.3187924E7,9.051252E7,3.3187924E7,3.3187924E7,9.051252E7,6.1850222E7,1.23700444E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,6034168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,9.051252E7,0,3017084,0.0,Karalda Nimwada,3.3187924E7,0,3017084,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_14,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.004474519105202242,Karel de Groot,7.2410016E7,4500,3017084,0.0014915063684007473,Magdalena Predutta,4.2239176E7,4500,3017084,0.0014915063684007473,Francois de Perrier,8.7495436E7,4500,3017084,0.0014915063684007473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_15,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,5.1290428E7,0,3017084,0.0,Esmeralda Clay,3.3187924E7,0,3017084,0.0,Karen Clarens,2.7153756E7,0,3017084,0.0,Kiu Kan,1.2068336E7,0,3017084,0.0,Sean Manney,7.2410016E7,0,3017084,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,2466305.0,2550191.0,2480360.0,2466305.0,2550191.0,2498952.0,7496856.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.8174465808708011,0.8452502482529489,0.822105052428106,0.8174465808708011,0.8452502482529489,0.8282672938506187,2.484801881551856,Karel de Groot,7.2410016E7,2550191,3017084,0.8452502482529489,Magdalena Predutta,4.2239176E7,2466305,3017084,0.8174465808708011,Francois de Perrier,8.7495436E7,2480360,3017084,0.822105052428106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_5,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,98872.0,108214.0,107012.0,98872.0,108214.0,104699.33333333333,314098.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.032770715034781926,0.03586708225558188,0.03546868433228906,0.032770715034781926,0.03586708225558188,0.03470216054088429,0.10410648162265287,Karel de Groot,7.2410016E7,108214,3017084,0.03586708225558188,Magdalena Predutta,4.2239176E7,98872,3017084,0.032770715034781926,Francois de Perrier,8.7495436E7,107012,3017084,0.03546868433228906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
