,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,22.0,,,-1.0,1.0,[225   0   0   0   0   0   0   0   0],['ID4291'],Role 1,,Role_1,,Nitration Q.C.
1,,22.666666666666668,,,19.0,9.0,[116 178  80 127  91 119 165 166 111],"['ID4167', 'ID4794', 'ID4132', 'ID4429', 'ID3846', 'ID4641', 'ID4529', 'ID4932', 'ID0997']",Role 2,,Role_2,,Turning & Milling
2,,16.666666666666668,,,17.0,9.0,[ 87 142   2  69   1   1 215   4   1],"['ID4163', 'ID4287', 'ID0937', 'ID4493', 'ID4529', 'ID4955', 'ID4618', 'ID0420', 'ID4167']",Role 3,,Role_3,,Turning & Milling Q.C.
3,,13.333333333333334,,,23.0,3.0,[1 1 2 0 0 0 0 0 0],"['ID4287', 'ID4493', 'ID4618']",Role 4,,Role_4,,Nitration Q.C.
4,,11.222222222222221,,,0.0,9.0,[ 10   9   2   3 148 185   2   3   6],"['ID4528', 'ID4872', 'ID0937', 'ID4355', 'ID4882', 'ID0998', 'ID4445', 'ID4718', 'ID0420']",Role 5,,Role_5,,Lapping
5,,15.666666666666666,,,2.0,9.0,[143  11   7   9   2  60  11   1   2],"['ID0998', 'ID4445', 'ID4355', 'ID4718', 'ID4618', 'ID4882', 'ID4872', 'ID3846', 'ID4932']",Role 6,,Role_6,,Laser Marking
6,,15.88888888888889,,,5.0,9.0,[ 18  22  80  80 160 115  17 115 145],"['ID4163', 'ID4287', 'ID0420', 'ID4872', 'ID4385', 'ID4355', 'ID4618', 'ID4528', 'ID4445']",Role 7,,Role_7,,Round Grinding
7,,11.2,,,16.0,5.0,[192 105   1  82 170   0   0   0   0],"['ID4163', 'ID4287', 'ID0937', 'ID4493', 'ID4618']",Role 8,,Role_8,,Final Inspection Q.C.
8,,14.25,,,13.0,4.0,[  1  25 234  17   0   0   0   0   0],"['ID4493', 'ID4491', 'ID4820', 'ID4291']",Role 9,,Role_9,,Packing
9,,17.0,,,6.0,7.0,[ 2 44  1 58  2  4  3  0  0],"['ID4618', 'ID4882', 'ID3716', 'ID0998', 'ID0420', 'ID4528', 'ID4872']",Role 10,,Role_10,,Flat Grinding
10,,12.25,,,11.0,4.0,[1 2 2 1 0 0 0 0 0],"['ID0997', 'ID4219', 'ID4445', 'ID4528']",Role 11,,Role_11,,Fix
11,,10.0,,,7.0,7.0,[ 1  1  2  1 10 11  4  0  0],"['ID4287', 'ID0937', 'ID4140', 'ID0997', 'ID4326', 'ID4162', 'ID4873']",Role 12,,Role_12,,Milling
12,,14.833333333333334,,,9.0,6.0,[ 2  3 10  1 42 39  0  0  0],"['ID4385', 'ID4355', 'ID4882', 'ID0998', 'ID4528', 'ID4872']",Role 13,,Role_13,,Grinding Rework
13,,18.444444444444443,,,8.0,9.0,[44 11 10  6 17  3  3 20  6],"['ID4219', 'ID4799', 'ID4641', 'ID4622', 'ID0997', 'ID4132', 'ID4794', 'ID3846', 'ID4932']",Role 14,,Role_14,,Turning
14,,11.2,,,4.0,5.0,[ 1 29  1  4 20  0  0  0  0],"['ID4163', 'ID4287', 'ID0937', 'ID4493', 'ID4618']",Role 15,,Role_15,,Turning Q.C.
15,,15.0,,,18.0,2.0,[2 1 0 0 0 0 0 0 0],"['ID3998', 'ID4932']",Role 16,,Role_16,,Stress Relief
16,,15.5,,,10.0,2.0,[2 2 0 0 0 0 0 0 0],"['ID4851', 'ID4890']",Role 17,,Role_17,,Change Version
17,,8.0,,,20.0,1.0,[3 0 0 0 0 0 0 0 0],['ID4932'],Role 18,,Role_18,,SETUP     Turning & Milling
18,,9.5,,,12.0,2.0,[1 1 0 0 0 0 0 0 0],"['ID4932', 'ID4219']",Role 19,,Role_19,,Setup
19,,14.666666666666666,,,22.0,6.0,[ 1  1 12  7  5  9  0  0  0],"['ID4287', 'ID0937', 'ID4641', 'ID3846', 'ID4932', 'ID4132']",Role 20,,Role_20,,Turn & Mill. & Screw Assem
20,,8.0,,,14.0,1.0,[3 0 0 0 0 0 0 0 0],['ID4442'],Role 21,,Role_21,,Turning Rework
21,,16.0,,,3.0,1.0,[2 0 0 0 0 0 0 0 0],['ID3641'],Role 22,,Role_22,,Rework Milling
22,,5.0,,,21.0,1.0,[1 0 0 0 0 0 0 0 0],['ID4287'],Role 23,,Role_23,,Milling Q.C.
23,,5.0,,,15.0,1.0,[2 0 0 0 0 0 0 0 0],['ID4493'],Role 24,,Role_24,,Round  Q.C.
24,,5.0,,,1.0,1.0,[1 0 0 0 0 0 0 0 0],['ID4493'],Role 25,,Role_25,,Final Inspection
0,,22.0,22.0,61200.0,,,,ID4291,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,22.666666666666668,30.0,2397000.0,,,,ID4167,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,22.666666666666668,20.0,3986940.0,,,,ID4794,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,22.666666666666668,21.0,1809060.0,,,,ID4132,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
