,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,30.0,,,-1.0,1.0,[225   0   0   0   0   0   0   0   0   0],['ID4618'],Role 1,,Role_1,,Turning Rework
1,,21.5,,,4.0,10.0,[ 91 178 111 165  80 166 119  77 116 127],"['ID3846', 'ID4794', 'ID0997', 'ID4529', 'ID4132', 'ID4932', 'ID4641', 'ID4219', 'ID4167', 'ID4429']",Role 2,,Role_2,,Turning & Milling
2,,11.2,,,9.0,5.0,[ 1 29  4  1 20  0  0  0  0  0],"['ID4163', 'ID4287', 'ID4493', 'ID0937', 'ID4618']",Role 3,,Role_3,,Turning Q.C.
3,,16.3,,,3.0,10.0,[  2  60   9   1  11   2 143   1   7  11],"['ID4618', 'ID4882', 'ID4718', 'ID4385', 'ID4445', 'ID4932', 'ID0998', 'ID0997', 'ID4355', 'ID4872']",Role 4,,Role_4,,Laser Marking
4,,11.2,,,10.0,5.0,[192 105  82   1 170   0   0   0   0   0],"['ID4163', 'ID4287', 'ID4493', 'ID0937', 'ID4618']",Role 5,,Role_5,,Final Inspection Q.C.
5,,14.25,,,11.0,4.0,[234   1  25  17   0   0   0   0   0   0],"['ID4820', 'ID4493', 'ID4491', 'ID4291']",Role 6,,Role_6,,Packing
6,,14.8,,,12.0,10.0,[ 80  18 160  22 145  17 115   7 115  80],"['ID0420', 'ID4163', 'ID4385', 'ID4287', 'ID4445', 'ID4618', 'ID4528', 'ID4493', 'ID4355', 'ID4872']",Role 7,,Role_7,,Round Grinding
7,,16.666666666666668,,,21.0,9.0,[ 87 142  69   1   1   2   4   1 215   0],"['ID4163', 'ID4287', 'ID4493', 'ID4529', 'ID4167', 'ID0937', 'ID0420', 'ID4955', 'ID4618']",Role 8,,Role_8,,Turning & Milling Q.C.
8,,10.6,,,5.0,10.0,[148   3   6   1   2 185   3   9  10   2],"['ID4882', 'ID4718', 'ID0420', 'ID4287', 'ID4445', 'ID0998', 'ID4355', 'ID4872', 'ID4528', 'ID0937']",Role 9,,Role_9,,Lapping
9,,17.0,,,0.0,7.0,[44 58  3  1  4  2  2  0  0  0],"['ID4882', 'ID0998', 'ID4872', 'ID3716', 'ID4528', 'ID0420', 'ID4618']",Role 10,,Role_10,,Flat Grinding
10,,14.833333333333334,,,2.0,6.0,[10  2  1  3 39 42  0  0  0  0],"['ID4882', 'ID4385', 'ID0998', 'ID4355', 'ID4872', 'ID4528']",Role 11,,Role_11,,Grinding Rework
11,,8.0,,,1.0,1.0,[3 0 0 0 0 0 0 0 0 0],['ID4932'],Role 12,,Role_12,,SETUP     Turning & Milling
12,,14.666666666666666,,,6.0,6.0,[ 7  1  5 12  9  1  0  0  0  0],"['ID3846', 'ID4287', 'ID4932', 'ID4641', 'ID4132', 'ID0937']",Role 13,,Role_13,,Turn & Mill. & Screw Assem
13,,8.0,,,23.0,1.0,[3 0 0 0 0 0 0 0 0 0],['ID4442'],Role 14,,Role_14,,Turning Rework
14,,10.0,,,8.0,7.0,[ 1 11  1  2  4  1 10  0  0  0],"['ID4287', 'ID4162', 'ID0997', 'ID4140', 'ID4873', 'ID0937', 'ID4326']",Role 15,,Role_15,,Milling
15,,13.333333333333334,,,15.0,3.0,[1 1 2 0 0 0 0 0 0 0],"['ID4287', 'ID4493', 'ID4618']",Role 16,,Role_16,,Nitration Q.C.
